"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Elephant Moraine 87653"|"Official"|" "|"1987"|"Antarctica"|"L6"|"24.5 g"|"12(3) ANSMET"|"(-76.283240, 156.444730)  "
"Elephant Moraine 87654"|"Official"|" "|"1987"|"Antarctica"|"H6"|"5.2 g"|"12(3) ANSMET"|"(-76.270210, 156.463920)  "
"Elephant Moraine 87655"|"Official"|" "|"1987"|"Antarctica"|"L6"|"93 g"|"12(3) ANSMET"|"(-76.183330, 157.166670)  "
"Elephant Moraine 87656"|"Official"|" "|"1987"|"Antarctica"|"L6"|"35.3 g"|"12(3) ANSMET"|"(-76.282930, 156.446850)  "
"Elephant Moraine 87657"|"Official"|" "|"1987"|"Antarctica"|"L6"|"64.8 g"|"12(3) ANSMET"|"(-76.276190, 156.457410)  "
"Elephant Moraine 87658"|"Official"|" "|"1987"|"Antarctica"|"H6"|"8.4 g"|"12(3) ANSMET"|"(-76.268170, 156.465440)  "
"Elephant Moraine 87659"|"Official"|" "|"1987"|"Antarctica"|"L6"|"4.3 g"|"12(3) ANSMET"|"(-76.269400, 156.472730)  "
"Elephant Moraine 87660"|"Official"|" "|"1987"|"Antarctica"|"L6"|"144.9 g"|"12(3) ANSMET"|"(-76.275880, 156.457430)  "
"Elephant Moraine 87661"|"Official"|" "|"1987"|"Antarctica"|"L6"|"118.6 g"|"12(3) ANSMET"|"(-76.183330, 157.166670)  "
"Elephant Moraine 87662"|"Official"|" "|"1987"|"Antarctica"|"H6"|"2.5 g"|"12(3) ANSMET"|"(-76.183330, 157.166670)  "
"Elephant Moraine 87663"|"Official"|" "|"1987"|"Antarctica"|"H4"|"57.8 g"|"12(3) ANSMET"|"(-76.183330, 157.166670)  "
"Elephant Moraine 87664"|"Official"|" "|"1987"|"Antarctica"|"H6"|"48.2 g"|"12(3) ANSMET"|"(-76.281080, 157.236120)  "
"Elephant Moraine 87665"|"Official"|" "|"1987"|"Antarctica"|"LL6"|"3.4 g"|"12(3) ANSMET"|"(-76.183330, 157.166670)  "
"Elephant Moraine 87666"|"Official"|" "|"1987"|"Antarctica"|"H4"|"4.2 g"|"12(3) ANSMET"|"(-76.282640, 156.441570)  "
"Elephant Moraine 87667"|"Official"|" "|"1987"|"Antarctica"|"L6"|"9 g"|"12(3) ANSMET"|"(-76.275850, 156.453320)  "
"Elephant Moraine 87668"|"Official"|" "|"1987"|"Antarctica"|"L6"|"70.3 g"|"12(3) ANSMET"|"(-76.277430, 156.451760)  "
"Elephant Moraine 87669"|"Official"|" "|"1987"|"Antarctica"|"L6"|"25.9 g"|"12(3) ANSMET"|"(-76.282080, 156.447700)  "
"Elephant Moraine 87670"|"Official"|" "|"1987"|"Antarctica"|"L6"|"17.8 g"|"12(3) ANSMET"|"(-76.283240, 156.444950)  "
"Elephant Moraine 87671"|"Official"|" "|"1987"|"Antarctica"|"L6"|"78 g"|"12(3) ANSMET"|"(-76.183330, 157.166670)  "
"Elephant Moraine 87672"|"Official"|" "|"1987"|"Antarctica"|"H6"|"126.3 g"|"12(3) ANSMET"|"(-76.266670, 156.486040)  "
