"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Queen Alexandra Range 94729"|"Official"|" "|"1994"|"Antarctica"|"LL6"|"14.9 g"|"19(2) ANSMET"|"(-84.578700, 162.025000)  "
"Queen Alexandra Range 94730"|"Official"|" "|"1994"|"Antarctica"|"L5"|"1.04 g"|"19(2) ANSMET"|"(-84.575400, 162.567000)  "
"Queen Alexandra Range 94731"|"Official"|" "|"1994"|"Antarctica"|"L5"|"1.11 g"|"19(2) ANSMET"|"(-84.592600, 162.371000)  "
"Queen Alexandra Range 94732"|"Official"|" "|"1994"|"Antarctica"|"H5"|"7.4 g"|"19(2) ANSMET"|"(-84.573800, 162.496000)  "
"Queen Alexandra Range 94733"|"Official"|" "|"1994"|"Antarctica"|"LL6"|"2.4 g"|"19(2) ANSMET"|"(-84.593400, 162.380000)  "
"Queen Alexandra Range 94734 **"|"Official"|" "|"1994"|"Antarctica"|"CM2"|"11.2 g"|"19(2) ANSMET"|"(-84.575200, 162.566000)  "
"Queen Alexandra Range 94735"|"Official"|" "|"1994"|"Antarctica"|"H6"|"1.1 g"|"19(2) ANSMET"|"(-84.574200, 162.567000)  "
"Queen Alexandra Range 94736"|"Official"|" "|"1994"|"Antarctica"|"L6"|"0.26 g"|"19(2) ANSMET"|"(-84.575100, 162.565000)  "
"Queen Alexandra Range 94737"|"Official"|" "|"1994"|"Antarctica"|"L5"|"2.4 g"|"19(2) ANSMET"|"(-84.575200, 162.565000)  "
"Queen Alexandra Range 94738"|"Official"|" "|"1994"|"Antarctica"|"H5"|"34.5 g"|"19(2) ANSMET"|"(-84.573700, 162.498000)  "
"Queen Alexandra Range 94739"|"Official"|" "|"1994"|"Antarctica"|"L5"|"1.3 g"|"19(2) ANSMET"|"(-84.574100, 162.568000)  "
"Queen Alexandra Range 94740"|"Official"|" "|"1994"|"Antarctica"|"L5"|"17.9 g"|"19(2) ANSMET"|"(-84.592700, 162.333000)  "
"Queen Alexandra Range 94742"|"Official"|" "|"1994"|"Antarctica"|"L6"|"5.7 g"|"19(2) ANSMET"|"(-84.574100, 162.567000)  "
"Queen Alexandra Range 94743"|"Official"|" "|"1994"|"Antarctica"|"L6"|"0.92 g"|"19(2) ANSMET"|"(-84.591500, 162.312000)  "
"Queen Alexandra Range 94744"|"Official"|" "|"1994"|"Antarctica"|"L5"|"11.2 g"|"19(2) ANSMET"|"(-84.575300, 162.567000)  "
"Queen Alexandra Range 94745"|"Official"|" "|"1994"|"Antarctica"|"L5"|"1.6 g"|"19(2) ANSMET"|"(-84.575100, 162.564000)  "
"Queen Alexandra Range 94746"|"Official"|" "|"1994"|"Antarctica"|"L6"|"2.8 g"|"19(2) ANSMET"|"(-84.575400, 162.565000)  "
"Queen Alexandra Range 94747"|"Official"|" "|"1994"|"Antarctica"|"H5"|"2.9 g"|"19(2) ANSMET"|"(-84.592000, 162.325000)  "
"Queen Alexandra Range 94748"|"Official"|" "|"1994"|"Antarctica"|"L5"|"22.5 g"|"19(2) ANSMET"|"(-84.575200, 162.571000)  "
"Queen Alexandra Range 94749"|"Official"|" "|"1994"|"Antarctica"|"L5"|"23.6 g"|"19(2) ANSMET"|"(-84.574000, 162.106000)  "
"Queen Alexandra Range 94750"|"Official"|" "|"1994"|"Antarctica"|"H5"|"1.2 g"|"19(2) ANSMET"|"(-84.575100, 162.573000)  "
"Queen Alexandra Range 94751"|"Official"|" "|"1994"|"Antarctica"|"H5"|"6.7 g"|"19(2) ANSMET"|"(-84.575000, 162.569000)  "
"Queen Alexandra Range 94752"|"Official"|" "|"1994"|"Antarctica"|"L6"|"1.5 g"|"19(2) ANSMET"|"(-84.594400, 162.382000)  "
"Queen Alexandra Range 94753"|"Official"|" "|"1994"|"Antarctica"|"L5"|"28.8 g"|"19(2) ANSMET"|"(-84.575000, 162.573000)  "
"Queen Alexandra Range 94754"|"Official"|" "|"1994"|"Antarctica"|"H6"|"3 g"|"19(2) ANSMET"|"(-84.591800, 162.318000)  "
"Queen Alexandra Range 94755"|"Official"|" "|"1994"|"Antarctica"|"H6"|"1.8 g"|"19(2) ANSMET"|"(-84.592000, 162.325000)  "
"Queen Alexandra Range 94756"|"Official"|" "|"1994"|"Antarctica"|"L5"|"3.7 g"|"20(2) ANSMET"|"(-84.574100, 162.567000)  "
"Queen Alexandra Range 94757"|"Official"|" "|"1994"|"Antarctica"|"H5"|"38.3 g"|"19(2) ANSMET"|"(-84.592300, 162.342000)  "
"Queen Alexandra Range 94758"|"Official"|" "|"1994"|"Antarctica"|"LL6"|"21.3 g"|"19(2) ANSMET"|"(-84.575400, 162.572000)  "
"Queen Alexandra Range 94759"|"Official"|" "|"1994"|"Antarctica"|"LL6"|"3 g"|"19(2) ANSMET"|"(-84.575100, 162.568000)  "
"Queen Alexandra Range 94760"|"Official"|" "|"1994"|"Antarctica"|"LL6"|"5.3 g"|"19(2) ANSMET"|"(-84.575000, 162.568000)  "
"Queen Alexandra Range 94761"|"Official"|" "|"1994"|"Antarctica"|"L6"|"0.55 g"|"19(2) ANSMET"|"(-84.592400, 162.369000)  "
"Queen Alexandra Range 94762"|"Official"|" "|"1994"|"Antarctica"|"H6"|"27.1 g"|"19(2) ANSMET"|"(-84.592400, 162.332000)  "
