"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Dhofar 700 **"|"Official"|" "|"2002"|"Zufar, Oman"|"Diogenite"|"2.77 kg"|" "|"(19.308330, 54.551670)  "
"Dhofar 701"|"Official"|" "|"2002"|"Zufar, Oman"|"L5"|"220 g"|" "|"(19.148330, 54.803330)  "
"Dhofar 702"|"Official"|" "|"2002"|"Zufar, Oman"|"H4"|"2.88 kg"|" "|"(19.165000, 54.776670)  "
"Dhofar 703"|"Official"|" "|"2001"|"Zufar, Oman"|"L5"|"205 g"|" "|"(19.173330, 54.875000)  "
"Dhofar 704"|"Official"|" "|"2001"|"Zufar, Oman"|"L4"|"280 g"|" "|"(18.891670, 54.586670)  "
"Dhofar 705"|"Official"|" "|"2001"|"Zufar, Oman"|"L6"|"283 g"|" "|"(18.816670, 54.261670)  "
"Dhofar 706"|"Official"|" "|"2001"|"Zufar, Oman"|"H5"|"255 g"|" "|"(19.053330, 54.533330)  "
"Dhofar 707"|"Official"|" "|"2001"|"Zufar, Oman"|"L5"|"205 g"|" "|"(18.425000, 54.160000)  "
"Dhofar 708"|"Official"|" "|"2001"|"Zufar, Oman"|"H3"|"209 g"|" "|"(18.345000, 54.175000)  "
"Dhofar 709"|"Official"|" "|"2001"|"Zufar, Oman"|"LL6"|"336 g"|" "|"(18.385000, 54.135000)  "
"Dhofar 710"|"Official"|" "|"2001"|"Zufar, Oman"|"L6"|"182 g"|" "|"(18.460000, 54.006670)  "
"Dhofar 711"|"Official"|" "|"2001"|"Zufar, Oman"|"L5"|"370 g"|" "|"(18.498330, 54.043330)  "
"Dhofar 712"|"Official"|" "|"2001"|"Zufar, Oman"|"L6"|"577 g"|" "|"(18.698330, 54.613330)  "
"Dhofar 713"|"Official"|" "|"2001"|"Zufar, Oman"|"H6"|"362 g"|" "|"(18.715000, 54.358330)  "
"Dhofar 714"|"Official"|" "|"2000"|"Zufar, Oman"|"H5"|"207 g"|" "|"(18.251670, 54.425000)  "
"Dhofar 715"|"Official"|" "|"2000"|"Zufar, Oman"|"LL4"|"252 g"|" "|"(18.900000, 54.400000)  "
"Dhofar 716"|"Official"|" "|"2001"|"Zufar, Oman"|"LL5"|"361 g"|" "|"(19.166670, 54.583330)  "
"Dhofar 717"|"Official"|" "|"2001"|"Zufar, Oman"|"L6"|"6 g"|" "|"(19.326670, 54.785000)  "
"Dhofar 718"|"Official"|" "|"2002"|"Zufar, Oman"|"L5"|"38 g"|" "|"(19.313330, 54.851670)  "
"Dhofar 719"|"Official"|" "|"2002"|"Zufar, Oman"|"L4"|"12 g"|" "|"(19.255000, 54.800000)  "
"Dhofar 720"|"Official"|" "|"2000"|"Zufar, Oman"|"H4"|"392 g"|" "|"(18.945000, 54.895000)  "
"Dhofar 721"|"Official"|" "|"2001"|"Zufar, Oman"|"H4"|"13.61 kg"|" "|"(18.791670, 54.153330)  "
"Dhofar 722"|"Official"|" "|"2001"|"Zufar, Oman"|"H3.9"|"230 g"|" "|"(18.686670, 54.533330)  "
"Dhofar 723"|"Official"|" "|"2001"|"Zufar, Oman"|"H5"|"166 g"|" "|"(18.683330, 54.218330)  "
"Dhofar 724"|"Official"|" "|"2001"|"Zufar, Oman"|"LL5"|"48 g"|" "|"(19.146670, 54.586670)  "
"Dhofar 725"|"Official"|" "|"2001"|"Zufar, Oman"|"H4"|"14 g"|" "|"(19.150000, 54.576670)  "
"Dhofar 726"|"Official"|" "|"2001"|"Zufar, Oman"|"L6"|"262 g"|" "|"(19.341670, 54.733330)  "
"Dhofar 727"|"Official"|" "|"2001"|"Zufar, Oman"|"H5"|"329 g"|" "|"(19.343330, 54.733330)  "
"Dhofar 730 **"|"Official"|" "|"2002"|"Zufar, Oman"|"Lunar (anorth)"|"108 g"|" "|"(19.325000, 54.791670)  "
"Dhofar 731 **"|"Official"|" "|"2002"|"Zufar, Oman"|"Lunar (anorth)"|"36 g"|" "|"(19.333330, 54.795000)  "
"Dhofar 732 **"|"Official"|" "|"2002"|"Zufar, Oman"|"Achondrite-ung"|"17 g"|" "|"(19.405000, 54.578330)  "
"Dhofar 733 **"|"Official"|" "|"2002"|"Zufar, Oman"|"Lunar (anorth)"|"98 g"|" "|"(18.588330, 54.230000)  "
"Dhofar 735 **"|"Official"|" "|"2002"|"Zufar, Oman"|"CM2"|"381 g"|" "|"(19.068330, 54.780000)  "
"Dhofar 743"|"Official"|" "|"2002"|"Zufar, Oman"|"L6"|"141 g"|" "|"(19.193330, 54.701670)  "
"Dhofar 744"|"Official"|" "|"2002"|"Zufar, Oman"|"H6"|"132 g"|" "|"(19.260000, 54.805000)  "
"Dhofar 745"|"Official"|" "|"2000"|"Zufar, Oman"|"H4"|"3.6 kg"|" "|"(18.886370, 54.654520)  "
"Dhofar 746"|"Official"|" "|"2000"|"Zufar, Oman"|"H6"|"969 g"|" "|"(18.275620, 54.321820)  "
"Dhofar 747"|"Official"|" "|"2000"|"Zufar, Oman"|"L3"|"1555 g"|" "|"(18.795650, 54.739530)  "
"Dhofar 748"|"Official"|" "|"2000"|"Zufar, Oman"|"H6"|"1030 g"|" "|"(18.771520, 54.716380)  "
"Dhofar 749"|"Official"|" "|"2000"|"Zufar, Oman"|"LL6"|"1730 g"|" "|"(18.877300, 54.780350)  "
"Dhofar 750"|"Official"|" "|"2000"|"Zufar, Oman"|"L6"|"742 g"|" "|"(18.837830, 54.671170)  "
