"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Larkman Nunatak 06404"|"Official"|" "|"2006"|"Antarctica"|"L4"|"83.6 g"|"32(2) ANSMET"|" "
"Larkman Nunatak 06405"|"Official"|" "|"2006"|"Antarctica"|"LL6"|"160 g"|"32(2) ANSMET"|" "
"Larkman Nunatak 06406"|"Official"|" "|"2006"|"Antarctica"|"L4"|"105.7 g"|"32(2) ANSMET"|" "
"Larkman Nunatak 06407"|"Official"|" "|"2006"|"Antarctica"|"LL6"|"68.3 g"|"32(2) ANSMET"|" "
"Larkman Nunatak 06408"|"Official"|" "|"2006"|"Antarctica"|"L4"|"63.7 g"|"32(2) ANSMET"|" "
"Larkman Nunatak 06409"|"Official"|" "|"2006"|"Antarctica"|"LL6"|"35.2 g"|"32(2) ANSMET"|" "
"Larkman Nunatak 06410"|"Official"|" "|"2006"|"Antarctica"|"L4"|"20 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06411"|"Official"|" "|"2006"|"Antarctica"|"L5"|"34.8 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06412"|"Official"|" "|"2006"|"Antarctica"|"L5"|"8.5 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06413"|"Official"|" "|"2006"|"Antarctica"|"H6"|"8.3 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06414"|"Official"|" "|"2006"|"Antarctica"|"H6"|"7.9 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06415"|"Official"|" "|"2006"|"Antarctica"|"H6"|"5.6 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06416"|"Official"|" "|"2006"|"Antarctica"|"H6"|"33.8 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06417"|"Official"|" "|"2006"|"Antarctica"|"H6"|"9.7 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06418"|"Official"|" "|"2006"|"Antarctica"|"H6"|"10.8 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06419"|"Official"|" "|"2006"|"Antarctica"|"L5"|"14 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06420"|"Official"|" "|"2006"|"Antarctica"|"L5"|"67.5 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06421"|"Official"|" "|"2006"|"Antarctica"|"H6"|"17.7 g"|"32(1) ANSMET"|" "
"Larkman Nunatak 06422"|"Official"|" "|"2006"|"Antarctica"|"L5"|"65.4 g"|"32(1) ANSMET"|" "
