"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"(Lat,Long)"
"Northwest Africa 7837 **"|"Official"|"2012"|"Morocco"|"CR2"|"586 g"|" "
"Northwest Africa 7838 **"|"Official"|"2012"|"(Northwest Africa)"|"H3"|"120.8 g"|" "
"Northwest Africa 7839"|"Official"|"2012"|"(Northwest Africa)"|"LL5"|"2.3 kg"|" "
"Northwest Africa 7840"|"Official"|"2012"|"(Northwest Africa)"|"LL3.6"|"112 g"|" "
"Northwest Africa 7841"|"Official"|"2012"|"(Northwest Africa)"|"L6"|"1070 g"|" "
"Northwest Africa 7842"|"Official"|"2012"|"(Northwest Africa)"|"H6"|"365 g"|" "
"Northwest Africa 7843"|"Official"|"2012"|"(Northwest Africa)"|"H5"|"236 g"|" "
"Northwest Africa 7844"|"Official"|"2012"|"(Northwest Africa)"|"L3"|"32 g"|" "
"Northwest Africa 7845"|"Official"|"2012"|"(Northwest Africa)"|"CO3"|"44 g"|" "
"Northwest Africa 7846"|"Official"|"2012"|"(Northwest Africa)"|"CV3"|"49 g"|" "
"Northwest Africa 7847"|"Official"|"2012"|"(Northwest Africa)"|"H3"|"264 g"|" "
"Northwest Africa 7848"|"Official"|"2012"|"(Northwest Africa)"|"CO3"|"66 g"|" "
"Northwest Africa 7849"|"Official"|"2012"|"(Northwest Africa)"|"L6-melt breccia"|"950 g"|" "
"Northwest Africa 7850"|"Official"|"2012"|"(Northwest Africa)"|"H5"|"625 g"|" "
"Northwest Africa 7851"|"Official"|"2012"|"(Northwest Africa)"|"H4"|"585 g"|" "
"Northwest Africa 7852"|"Official"|"2012"|"(Northwest Africa)"|"H5"|"39 g"|" "
"Northwest Africa 7853"|"Official"|"2009"|"(Northwest Africa)"|"Pallasite"|"1100 g"|" "
"Northwest Africa 7854 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite-pmict"|"2.64 kg"|" "
"Northwest Africa 7855"|"Official"|"2013"|"(Northwest Africa)"|"H4"|"916 g"|" "
"Northwest Africa 7856"|"Official"|"2013"|"(Northwest Africa)"|"LL6"|"517 g"|" "
"Northwest Africa 7857"|"Official"|"2013"|"(Northwest Africa)"|"LL6"|"246 g"|" "
"Northwest Africa 7858"|"Official"|"2013"|"(Northwest Africa)"|"H4"|"459 g"|" "
"Northwest Africa 7859"|"Official"|"2013"|"(Northwest Africa)"|"L3"|"853 g"|" "
"Northwest Africa 7860"|"Official"|"2012"|"(Northwest Africa)"|"H6"|"500 g"|" "
"Northwest Africa 7861"|"Official"|"2013"|"(Northwest Africa)"|"L5"|"611 g"|" "
"Northwest Africa 7862"|"Official"|"2013"|"(Northwest Africa)"|"L4/5"|"317 g"|" "
"Northwest Africa 7863"|"Official"|"2013"|"(Northwest Africa)"|"LL5"|"1000 g"|" "
"Northwest Africa 7864"|"Official"|"2002"|"(Northwest Africa)"|"L3"|"10.4 kg"|" "
"Northwest Africa 7865"|"Official"|"2012"|"(Northwest Africa)"|"CV3"|"1480 g"|" "
"Northwest Africa 7866"|"Official"|"2009"|"(Northwest Africa)"|"L5"|"11.75 kg"|" "
"Northwest Africa 7867 **"|"Official"|"2012"|"Morocco"|"LL7"|"3.39 kg"|" "
"Northwest Africa 7869 **"|"Official"|"2004"|"(Northwest Africa)"|"L3"|"97.9 g"|" "
"Northwest Africa 7870 **"|"Official"|"2004"|"(Northwest Africa)"|"L4"|"42 g"|" "
