"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"(Lat,Long)"
"Northwest Africa 10038 **"|"Official"|"2014"|"Morocco"|"L5"|"255 g"|" "
"Northwest Africa 10039 **"|"Official"|"2014"|"Morocco"|"H5"|"2 kg"|" "
"Northwest Africa 10040 **"|"Official"|"2013"|"Morocco"|"CK6"|"1000 g"|" "
"Northwest Africa 10041 **"|"Official"|"2012"|"Morocco"|"LL5"|"4.4 kg"|" "
"Northwest Africa 10042 **"|"Official"|"2013"|"Morocco"|"Eucrite"|"2.8 kg"|" "
"Northwest Africa 10043 **"|"Official"|"2015"|"(Northwest Africa)"|"Lodranite"|"1556 g"|" "
"Northwest Africa 10044 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-pmict"|"59.9 g"|" "
"Northwest Africa 10045 **"|"Official"|"2015"|"(Northwest Africa)"|"Howardite"|"74.8 g"|" "
"Northwest Africa 10046 **"|"Official"|"2015"|"(Northwest Africa)"|"LL6"|"74.8 g"|" "
"Northwest Africa 10047 **"|"Official"|"2015"|"(Northwest Africa)"|"Ureilite"|"66.1 g"|" "
"Northwest Africa 10048 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar"|"352 g"|" "
"Northwest Africa 10049 **"|"Official"|"2014"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"56 g"|" "
"Northwest Africa 10050 **"|"Official"|"2014"|"Morocco"|"L6-melt breccia"|"407 g"|" "
"Northwest Africa 10052 **"|"Official"|"2014"|"Morocco"|"CR2"|"44.4 g"|" "
"Northwest Africa 10053 **"|"Official"|"2014"|"Morocco"|"CV3"|"91.6 g"|" "
"Northwest Africa 10054"|"Official"|"2014"|"Morocco"|"H4"|"176.9 g"|" "
"Northwest Africa 10055 **"|"Official"|"2014"|"Morocco"|"CV3"|"212 g"|" "
"Northwest Africa 10056"|"Official"|"2014"|"Morocco"|"LL4"|"660 g"|" "
"Northwest Africa 10057"|"Official"|"2014"|"Morocco"|"LL4"|"117.2 g"|" "
"Northwest Africa 10058 **"|"Official"|"2014"|"Morocco"|"H3"|"79.1 g"|" "
"Northwest Africa 10059 **"|"Official"|"2014"|"Morocco"|"H3"|"736 g"|" "
"Northwest Africa 10060 **"|"Official"|"2002"|"Morocco"|"L5"|"107 g"|" "
"Northwest Africa 10061 **"|"Official"|"2015"|"(Northwest Africa)"|"LL3.00"|"53.8 g"|" "
"Northwest Africa 10062 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite-cm"|"602 g"|" "
"Northwest Africa 10063 **"|"Official"|"2014"|"(Northwest Africa)"|"L3"|"920 g"|" "
"Northwest Africa 10064 **"|"Official"|"2015"|"(Northwest Africa)"|"LL3"|"766 g"|" "
"Northwest Africa 10065 **"|"Official"|"2014"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"283 g"|" "
"Northwest Africa 10066 **"|"Official"|"2014"|"(Northwest Africa)"|"CV3"|"685 g"|" "
"Northwest Africa 10067 **"|"Official"|"2014"|"(Northwest Africa)"|"R3"|"275 g"|" "
"Northwest Africa 10068 **"|"Official"|"2008"|"(Northwest Africa)"|"Martian (shergottite)"|"616 g"|" "
"Northwest Africa 10069 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite-mmict"|"10.35 kg"|" "
"Northwest Africa 10070 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite-mmict"|"82.4 g"|" "
"Northwest Africa 10071 **"|"Official"|"2014"|"(Northwest Africa)"|"LL3"|"371 g"|" "
"Northwest Africa 10072 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite-mmict"|"25.8 g"|" "
"Northwest Africa 10073 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"64 g"|" "
"Northwest Africa 10074 **"|"Official"|"2014"|"(Northwest Africa)"|"Acapulcoite"|"44.9 g"|" "
"Northwest Africa 10075 **"|"Official"|"2014"|"(Northwest Africa)"|"L5"|"461 g"|" "
"Northwest Africa 10076 **"|"Official"|"2014"|"(Northwest Africa)"|"H6"|"30 g"|" "
"Northwest Africa 10077 **"|"Official"|"2014"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"5.3 g"|" "
"Northwest Africa 10078 **"|"Official"|"2014"|"(Northwest Africa)"|"L4"|"226 g"|" "
"Northwest Africa 10079 **"|"Official"|"2014"|"(Northwest Africa)"|"Diogenite-pm"|"129 g"|" "
"Northwest Africa 10080 **"|"Official"|"2014"|"(Northwest Africa)"|"L4"|"351 g"|" "
"Northwest Africa 10081 **"|"Official"|"2014"|"(Northwest Africa)"|"LL6"|"4.41 g"|" "
"Northwest Africa 10082 **"|"Official"|"2014"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"5.2 g"|" "
"Northwest Africa 10083 **"|"Official"|"2014"|"(Northwest Africa)"|"L6"|"320 g"|" "
"Northwest Africa 10084 **"|"Official"|"2015"|"(Northwest Africa)"|"L-imp melt"|"14.8 g"|" "
"Northwest Africa 10085 **"|"Official"|"2013"|"(Northwest Africa)"|"K4"|"52.2 g"|" "
"Northwest Africa 10086 **"|"Official"|"2011"|"(Northwest Africa)"|"LL3"|"1650 g"|" "
"Northwest Africa 10087 **"|"Official"|"2011"|"(Northwest Africa)"|"H3"|"26.8 g"|" "
"Northwest Africa 10088 **"|"Official"|"2012"|"(Northwest Africa)"|"LL3"|"210 g"|" "
"Northwest Africa 10089"|"Official"|"2012"|"(Northwest Africa)"|"H4"|"101.2 g"|" "
"Northwest Africa 10090 **"|"Official"|"2013"|"Morocco"|"H3"|"134.4 g"|" "
"Northwest Africa 10091 **"|"Official"|"2013"|"Morocco"|"CV3"|"35.5 g"|" "
"Northwest Africa 10092 **"|"Official"|"2011"|"(Northwest Africa)"|"CO3"|"377 g"|" "
"Northwest Africa 10093 **"|"Official"|"2013"|"Algeria"|"LL5"|"26 g"|" "
"Northwest Africa 10094 **"|"Official"|"2010"|"(Northwest Africa)"|"LL6"|"103 g"|" "
"Northwest Africa 10095 **"|"Official"|"2012"|"(Northwest Africa)"|"L4"|"599 g"|" "
"Northwest Africa 10096 **"|"Official"|"2013"|"(Northwest Africa)"|"L4"|"159.1 g"|" "
"Northwest Africa 10097 **"|"Official"|"2013"|"Aousserd, Morocco"|"L6"|"186 kg"|" "
"Northwest Africa 10098 **"|"Official"|"2013"|"(Northwest Africa)"|"CO3"|"800 g"|" "
"Northwest Africa 10099 **"|"Official"|"2013"|"(Northwest Africa)"|"L6"|"3.8 kg"|" "
"Northwest Africa 10100 **"|"Official"|"2013"|"(Northwest Africa)"|"CO3"|"1000 g"|" "
"Northwest Africa 10101 **"|"Official"|"2013"|"(Northwest Africa)"|"CV3"|"520 g"|" "
"Northwest Africa 10102 **"|"Official"|"2013"|"Morocco"|"L(LL)3"|"6 kg"|" "
"Northwest Africa 10103 **"|"Official"|"2013"|"(Northwest Africa)"|"LL7"|"15.1 g"|" "
"Northwest Africa 10104 **"|"Official"|"2014"|"(Northwest Africa)"|"CK6"|"182.6 g"|" "
"Northwest Africa 10106 **"|"Official"|"2013"|"Morocco"|"H5"|"229 g"|" "
"Northwest Africa 10107 **"|"Official"|"2014"|"(Northwest Africa)"|"L-melt breccia"|"3.5 kg"|" "
"Northwest Africa 10108"|"Official"|"2014"|"(Northwest Africa)"|"L6"|"690 g"|" "
"Northwest Africa 10109 **"|"Official"|"2014"|"(Northwest Africa)"|"LL3-6"|"250 g"|" "
"Northwest Africa 10110"|"Official"|"2014"|"(Northwest Africa)"|"LL6"|"72 g"|" "
"Northwest Africa 10111"|"Official"|"2014"|"(Northwest Africa)"|"H6"|"173 g"|" "
"Northwest Africa 10112"|"Official"|"2014"|"(Northwest Africa)"|"L5"|"210 g"|" "
"Northwest Africa 10113"|"Official"|"2014"|"(Northwest Africa)"|"L5"|"4 kg"|" "
"Northwest Africa 10114"|"Official"|"2014"|"(Northwest Africa)"|"L5"|"4.3 kg"|" "
"Northwest Africa 10115"|"Official"|"2014"|"(Northwest Africa)"|"L3"|"60 g"|" "
"Northwest Africa 10116 **"|"Official"|"2015"|"(Northwest Africa)"|"CK6"|"136 g"|" "
"Northwest Africa 10117 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-br"|"141 g"|" "
"Northwest Africa 10118 **"|"Official"|"2015"|"(Northwest Africa)"|"CV3"|"620 g"|" "
"Northwest Africa 10119 **"|"Official"|"2015"|"(Northwest Africa)"|"CO3-melt breccia"|"26.9 g"|" "
"Northwest Africa 10120 **"|"Official"|"2009"|"(Northwest Africa)"|"H5"|"140.2 g"|" "
"Northwest Africa 10121 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-pmict"|"217 g"|" "
"Northwest Africa 10122 **"|"Official"|"2015"|"(Northwest Africa)"|"CO3"|"373 g"|" "
"Northwest Africa 10123 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"149.5 g"|" "
"Northwest Africa 10124 **"|"Official"|"2014"|"(Northwest Africa)"|"Howardite"|"392 g"|" "
"Northwest Africa 10125 **"|"Official"|"2014"|"(Northwest Africa)"|"CV3"|"730 g"|" "
"Northwest Africa 10126 **"|"Official"|"2013"|"(Northwest Africa)"|"CM2"|"17.6 g"|" "
"Northwest Africa 10128 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-pmict"|"1804 g"|" "
"Northwest Africa 10129 **"|"Official"|"2015"|"(Northwest Africa)"|"CV3"|"1696 g"|" "
"Northwest Africa 10130 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"191 g"|" "
"Northwest Africa 10131 **"|"Official"|"2014"|"(Northwest Africa)"|"Diogenite-pm"|"24.7 g"|" "
"Northwest Africa 10132 **"|"Official"|"2015"|"(Northwest Africa)"|"Achondrite-ung"|"940 g"|" "
"Northwest Africa 10133 **"|"Official"|"2014"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"54.2 g"|" "
"Northwest Africa 10134 **"|"Official"|"2015"|"(Northwest Africa)"|"Martian (shergottite)"|"25.4 g"|" "
"Northwest Africa 10135 **"|"Official"|"2014"|"(Northwest Africa)"|"L5"|"81.1 g"|" "
"Northwest Africa 10136"|"Official"|"2014"|"(Northwest Africa)"|"LL5"|"295 g"|" "
"Northwest Africa 10137"|"Official"|"2014"|"(Northwest Africa)"|"LL6"|"1895 g"|" "
"Northwest Africa 10138"|"Official"|"2014"|"(Northwest Africa)"|"L6"|"332 g"|" "
"Northwest Africa 10139 **"|"Official"|"2014"|"(Northwest Africa)"|"Ureilite"|"80 g"|" "
"Northwest Africa 10140 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (troct. anorth.)"|"68 g"|" "
"Northwest Africa 10141 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"39 g"|" "
"Northwest Africa 10142 **"|"Official"|"2014"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"102 g"|" "
"Northwest Africa 10143 **"|"Official"|"2013"|"(Northwest Africa)"|"CV3"|"21.1 g"|" "
"Northwest Africa 10144 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-br"|"53.5 g"|" "
"Northwest Africa 10145 **"|"Official"|"2015"|"(Northwest Africa)"|"Lodranite"|"191 g"|" "
"Northwest Africa 10146 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-pmict"|"43.5 g"|" "
"Northwest Africa 10147 **"|"Official"|"2015"|"(Northwest Africa)"|"LL4-melt breccia"|"4.17 kg"|" "
"Northwest Africa 10148 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-mmict"|"634 g"|" "
"Northwest Africa 10149 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"1815 g"|" "
"Northwest Africa 10150 **"|"Official"|"2014"|"(Northwest Africa)"|"Lodranite"|"425 g"|" "
"Northwest Africa 10151 **"|"Official"|"2014"|"(Northwest Africa)"|"LL7"|"365 g"|" "
"Northwest Africa 10152 **"|"Official"|"2014"|"(Northwest Africa)"|"Diogenite-pm"|"241 g"|" "
"Northwest Africa 10153 **"|"Official"|"2014"|"(Northwest Africa)"|"Martian (nakhlite)"|"119 g"|" "
"Northwest Africa 10154 **"|"Official"|"2015"|"(Northwest Africa)"|"Diogenite-an"|"1504 g"|" "
"Northwest Africa 10155 **"|"Official"|"2015"|"(Northwest Africa)"|"Lodranite"|"277 g"|" "
"Northwest Africa 10156"|"Official"|"2013"|"(Northwest Africa)"|"L5"|"1570 g"|" "
"Northwest Africa 10157 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite"|"57 g"|" "
"Northwest Africa 10158 **"|"Official"|"2011"|"Algeria"|"Mesosiderite"|"403 g"|" "
"Northwest Africa 10159 **"|"Official"|"2014"|"Morocco"|"Diogenite"|"83.8 g"|" "
"Northwest Africa 10160"|"Official"|"2014"|"Morocco"|"LL6"|"211 g"|" "
"Northwest Africa 10161 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite"|"60 g"|" "
"Northwest Africa 10162 **"|"Official"|"2014"|"(Northwest Africa)"|"CV3"|"84 g"|" "
"Northwest Africa 10163 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite-cm"|"56 g"|" "
"Northwest Africa 10164 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite"|"81 g"|" "
"Northwest Africa 10165 **"|"Official"|"2014"|"Taouz, Morocco"|"CM2"|"7.7 g"|" "
"Northwest Africa 10166 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-mmict"|"1700 g"|" "
"Northwest Africa 10167 **"|"Official"|"2015"|"(Northwest Africa)"|"Ureilite"|"70 g"|" "
"Northwest Africa 10168 **"|"Official"|"2015"|"(Northwest Africa)"|"L5"|"28 kg"|" "
"Northwest Africa 10169 **"|"Official"|"2015"|"(Northwest Africa)"|"Martian (shergottite)"|"22 g"|" "
"Northwest Africa 10170 **"|"Official"|"2015"|"(Northwest Africa)"|"Martian (shergottite)"|"307 g"|" "
"Northwest Africa 10171 **"|"Official"|"2015"|"(Northwest Africa)"|"Martian (shergottite)"|"23.4 g"|" "
"Northwest Africa 10172 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"788 g"|" "
"Northwest Africa 10173 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite"|"347 g"|" "
"Northwest Africa 10174 **"|"Official"|"2015"|"(Northwest Africa)"|"L5"|"649 g"|" "
"Northwest Africa 10175 **"|"Official"|"2015"|"(Northwest Africa)"|"Howardite"|"823 g"|" "
"Northwest Africa 10176 **"|"Official"|"2012"|"(Northwest Africa)"|"CM2"|"18.1 g"|" "
"Northwest Africa 10177 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite-pmict"|"46.6 g"|" "
"Northwest Africa 10178 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar"|"1279 g"|" "
"Northwest Africa 10179 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite-mmict"|"61.9 g"|" "
"Northwest Africa 10180 **"|"Official"|"2011"|"(Northwest Africa)"|"Howardite"|"32.7 g"|" "
"Northwest Africa 10181 **"|"Official"|"2015"|"(Northwest Africa)"|"Diogenite-pm"|"880 g"|" "
"Northwest Africa 10182 **"|"Official"|"2015"|"(Northwest Africa)"|"Diogenite"|"133.5 g"|" "
"Northwest Africa 10183"|"Official"|"2013"|"(Northwest Africa)"|"H5"|"728 g"|" "
"Northwest Africa 10184"|"Official"|"2012"|"(Northwest Africa)"|"L6"|"230 g"|" "
"Northwest Africa 10185 **"|"Official"|"2012"|"(Northwest Africa)"|"CO3"|"101 g"|" "
"Northwest Africa 10186"|"Official"|"2012"|"(Northwest Africa)"|"L5"|"75 g"|" "
"Northwest Africa 10187 **"|"Official"|"2012"|"(Northwest Africa)"|"L-melt rock"|"27 g"|" "
"Northwest Africa 10188"|"Official"|"2012"|"(Northwest Africa)"|"L6"|"64 g"|" "
"Northwest Africa 10189 **"|"Official"|"2012"|"Morocco"|"CR2"|"82 g"|" "
"Northwest Africa 10190"|"Official"|"2005"|"Morocco"|"L6"|"632 g"|" "
"Northwest Africa 10191 **"|"Official"|"2014"|"(Northwest Africa)"|"C3"|"4.26 kg"|" "
"Northwest Africa 10192 **"|"Official"|"2008"|"(Northwest Africa)"|"L4-6"|"44.9 g"|" "
"Northwest Africa 10193 **"|"Official"|"2008"|"(Northwest Africa)"|"L4"|"19.5 g"|" "
"Northwest Africa 10194 **"|"Official"|"2008"|"(Northwest Africa)"|"EL4"|"11 g"|" "
"Northwest Africa 10195 **"|"Official"|"2013"|"(Northwest Africa)"|"L4"|"3.53 kg"|" "
"Northwest Africa 10196 **"|"Official"|"2014"|"(Northwest Africa)"|"L-melt rock"|"6.66 kg"|" "
"Northwest Africa 10197 **"|"Official"|"2009"|"(Northwest Africa)"|"L4/5"|"273 g"|" "
"Northwest Africa 10198 **"|"Official"|"2009"|"(Northwest Africa)"|"L5"|"2.68 kg"|" "
"Northwest Africa 10199 **"|"Official"|"2015"|"(Northwest Africa)"|"CV3"|"188.1 g"|" "
"Northwest Africa 10200 **"|"Official"|"2014"|"(Northwest Africa)"|"L3"|"45.2 g"|" "
"Northwest Africa 10201 **"|"Official"|"2014"|"(Northwest Africa)"|"LL5"|"53.3 g"|" "
"Northwest Africa 10202 **"|"Official"|"2015"|"(Northwest Africa)"|"H5"|"115.7 g"|" "
"Northwest Africa 10203 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar"|"3.3 kg"|" "
"Northwest Africa 10204 **"|"Official"|"2015"|"(Northwest Africa)"|"Eucrite-pmict"|"1300 g"|" "
"Northwest Africa 10205 **"|"Official"|"2015"|"(Northwest Africa)"|"Lodranite"|"23 g"|" "
"Northwest Africa 10206 **"|"Official"|"2015"|"(Northwest Africa)"|"CO3.0"|"122 g"|" "
"Northwest Africa 10207 **"|"Official"|"2015"|"(Northwest Africa)"|"Lodranite"|"337 g"|" "
"Northwest Africa 10208 **"|"Official"|"2015"|"(Northwest Africa)"|"CO3"|"400 g"|" "
"Northwest Africa 10209 **"|"Official"|"2015"|"(Northwest Africa)"|"CK6"|"137 g"|" "
"Northwest Africa 10210 **"|"Official"|"2015"|"(Northwest Africa)"|"Acapulcoite"|"504 g"|" "
"Northwest Africa 10211 **"|"Official"|"2014"|"(Northwest Africa)"|"L(LL)3"|"279 g"|" "
"Northwest Africa 10212 **"|"Official"|"2014"|"(Northwest Africa)"|"LL3-6"|"46.6 g"|" "
"Northwest Africa 10213"|"Official"|"2015"|"Morocco"|"L6"|"4.12 kg"|" "
"Northwest Africa 10214"|"Official"|"2015"|"Morocco"|"LL3"|"1816 g"|" "
"Northwest Africa 10215 **"|"Official"|"2015"|"Morocco"|"R4"|"402 g"|" "
"Northwest Africa 10216"|"Official"|"2015"|"Morocco"|"LL6"|"425 g"|" "
"Northwest Africa 10217 **"|"Official"|"2015"|"Morocco"|"CK5"|"271 g"|" "
"Northwest Africa 10218"|"Official"|"2015"|"Morocco"|"L4"|"426 g"|" "
"Northwest Africa 10219"|"Official"|"2015"|"Morocco"|"L3"|"353 g"|" "
"Northwest Africa 10220"|"Official"|"2015"|"Morocco"|"LL3"|"149.6 g"|" "
"Northwest Africa 10221"|"Official"|"2015"|"Morocco"|"CV3"|"599 g"|" "
"Northwest Africa 10222"|"Official"|"2015"|"Morocco"|"CV3"|"218 g"|" "
"Northwest Africa 10223"|"Official"|"2015"|"Morocco"|"CV3"|"804 g"|" "
"Northwest Africa 10224 **"|"Official"|"2014"|"Morocco"|"Iron, IID"|"318 g"|" "
"Northwest Africa 10225 **"|"Official"|"2014"|"(Northwest Africa)"|"H5"|"442 g"|" "
"Northwest Africa 10226 **"|"Official"|"2014"|"(Northwest Africa)"|"H4"|"590 g"|" "
"Northwest Africa 10227 **"|"Official"|"2014"|"(Northwest Africa)"|"L4"|"305 g"|" "
"Northwest Africa 10228 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"19.4 g"|" "
"Northwest Africa 10229 **"|"Official"|"2014"|"(Northwest Africa)"|"L6"|"2.6 kg"|" "
"Northwest Africa 10230 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite-br"|"28.1 g"|" "
"Northwest Africa 10231 **"|"Official"|"2014"|"(Northwest Africa)"|"L6"|"29.3 g"|" "
"Northwest Africa 10232 **"|"Official"|"2014"|"(Northwest Africa)"|"H6"|"70 g"|" "
"Northwest Africa 10233 **"|"Official"|"2014"|"(Northwest Africa)"|"Eucrite-unbr"|"230 g"|" "
"Northwest Africa 10234 **"|"Official"|"2009"|"(Northwest Africa)"|"LL3"|"1590 g"|" "
"Northwest Africa 10235 **"|"Official"|"2014"|"(Northwest Africa)"|"CV3"|"437 g"|" "
"Northwest Africa 10236 **"|"Official"|"2014"|"(Northwest Africa)"|"L3"|"290 g"|" "
"Northwest Africa 10237 **"|"Official"|"2014"|"(Northwest Africa)"|"EH-melt rock"|"146 g"|" "
"Northwest Africa 10238 **"|"Official"|"2014"|"(Northwest Africa)"|"Ureilite"|"155 g"|" "
"Northwest Africa 10239 **"|"Official"|"2015"|"(Northwest Africa)"|"H4/5"|"630 g"|" "
"Northwest Africa 10240 **"|"Official"|"2010"|"(Northwest Africa)"|"LL7"|"242 g"|" "
"Northwest Africa 10241 **"|"Official"|"2015"|"(Northwest Africa)"|"LL3"|"495 g"|" "
"Northwest Africa 10242 **"|"Official"|"2015"|"(Northwest Africa)"|"Diogenite"|"41.5 g"|" "
"Northwest Africa 10243 **"|"Official"|"2015"|"(Northwest Africa)"|"LL7"|"156 g"|" "
"Northwest Africa 10244 **"|"Official"|"2014"|"(Northwest Africa)"|"LL5-melt breccia"|"2.2 kg"|" "
"Northwest Africa 10245 **"|"Official"|"2014"|"Morocco"|"Eucrite"|"26 g"|" "
"Northwest Africa 10246 **"|"Official"|"2015"|"Algeria"|"Mesosiderite"|"1878 g"|" "
"Northwest Africa 10247 **"|"Official"|"2014"|"(Northwest Africa)"|"L6"|"258 g"|" "
"Northwest Africa 10248 **"|"Official"|"2012"|"(Northwest Africa)"|"L6"|"23.4 g"|" "
"Northwest Africa 10250 **"|"Official"|"2000"|"(Northwest Africa)"|"L3"|"418 g"|" "
"Northwest Africa 10251 **"|"Official"|"2004"|"(Northwest Africa)"|"H3-6"|"2 kg"|" "
"Northwest Africa 10252 **"|"Official"|"2015"|"(Northwest Africa)"|"Pallasite, PMG-an"|"660 g"|" "
"Northwest Africa 10253 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"6.67 kg"|" "
"Northwest Africa 10255 **"|"Official"|"2015"|"(Northwest Africa)"|"LL3"|"1995 g"|" "
"Northwest Africa 10256 **"|"Official"|"2015"|"(Northwest Africa)"|"CR2"|"707 g"|" "
"Northwest Africa 10257 **"|"Official"|"2014"|"(Northwest Africa)"|"L4"|"1910 g"|" "
"Northwest Africa 10258 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"58 g"|" "
"Northwest Africa 10259 **"|"Official"|"2015"|"(Northwest Africa)"|"Howardite"|"64.9 g"|" "
"Northwest Africa 10260 **"|"Official"|"2015"|"(Northwest Africa)"|"LL4"|"1000 g"|" "
"Northwest Africa 10261 **"|"Official"|"2014"|"Morocco"|"CV3"|"127 g"|" "
"Northwest Africa 10262 **"|"Official"|"2015"|"(Northwest Africa)"|"Howardite"|"389 g"|" "
"Northwest Africa 10263 **"|"Official"|"2015"|"Mauritania"|"Lunar (feldsp. breccia)"|"1015 g"|" "
"Northwest Africa 10264 **"|"Official"|"2015"|"(Northwest Africa)"|"LL(L)3"|"181 g"|" "
"Northwest Africa 10265 **"|"Official"|"2015"|"(Northwest Africa)"|"Lodranite"|"3.36 kg"|" "
"Northwest Africa 10266 **"|"Official"|"2014"|"(Northwest Africa)"|"H5"|"62 kg"|" "
"Northwest Africa 10267 **"|"Official"|"2013"|"(Northwest Africa)"|"LL4-7"|"250 g"|" "
"Northwest Africa 10268 **"|"Official"|"2015"|"(Northwest Africa)"|"Diogenite"|"89 g"|" "
"Northwest Africa 10270 **"|"Official"|"2014"|"(Northwest Africa)"|"L4/5"|"65.5 g"|" "
"Northwest Africa 10271 **"|"Official"|"2014"|"(Northwest Africa)"|"Enst achon"|"16.6 g"|" "
"Northwest Africa 10272 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"74.3 g"|" "
"Northwest Africa 10273 **"|"Official"|"2013"|"(Northwest Africa)"|"CK4"|"189.7 g"|" "
"Northwest Africa 10274 **"|"Official"|"2014"|"(Northwest Africa)"|"L5"|"130 g"|" "
"Northwest Africa 10275 **"|"Official"|"2014"|"(Northwest Africa)"|"CV3"|"5.8 g"|" "
"Northwest Africa 10276 **"|"Official"|"2014"|"(Northwest Africa)"|"CK3"|"20.3 g"|" "
"Northwest Africa 10277 **"|"Official"|"2014"|"(Northwest Africa)"|"Diogenite"|"33 g"|" "
"Northwest Africa 10278 **"|"Official"|"2014"|"(Northwest Africa)"|"CK3"|"6.3 g"|" "
"Northwest Africa 10279 **"|"Official"|"2014"|"(Northwest Africa)"|"L5"|"976 g"|" "
"Northwest Africa 10280 **"|"Official"|"2014"|"(Northwest Africa)"|"LL6"|"2.7 kg"|" "
"Northwest Africa 10281 **"|"Official"|"2015"|"(Northwest Africa)"|"Martian (shergottite)"|"765 g"|" "
"Northwest Africa 10282 **"|"Official"|"2005"|"(Northwest Africa)"|"H4/5"|"110 g"|" "
"Northwest Africa 10283 **"|"Official"|"2005"|"(Northwest Africa)"|"L3-6"|"26.1 g"|" "
"Northwest Africa 10284 **"|"Official"|"2005"|"(Northwest Africa)"|"L3"|"31.8 g"|" "
"Northwest Africa 10285 **"|"Official"|"2005"|"(Northwest Africa)"|"L4"|"54.3 g"|" "
"Northwest Africa 10286 **"|"Official"|"2005"|"(Northwest Africa)"|"H3-5"|"224 g"|" "
"Northwest Africa 10287 **"|"Official"|"2005"|"(Northwest Africa)"|"H/L5"|"224 g"|" "
"Northwest Africa 10288 **"|"Official"|"2015"|"(Northwest Africa)"|"L4-melt breccia"|"680 g"|" "
"Northwest Africa 10289 **"|"Official"|"2015"|"(Northwest Africa)"|"CV3"|"285 g"|" "
"Northwest Africa 10290 **"|"Official"|"2015"|"(Northwest Africa)"|"L4"|"1571 g"|" "
"Northwest Africa 10291 **"|"Official"|"2015"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"10 g"|" "
"Northwest Africa 10292"|"Official"|"2008"|"(Northwest Africa)"|"H4"|"954 g"|" "
"Northwest Africa 10293"|"Official"|"2008"|"(Northwest Africa)"|"H~5"|"778 g"|" "
"Northwest Africa 10294"|"Official"|"2008"|"(Northwest Africa)"|"L~6"|"1680 g"|" "
"Northwest Africa 10295 **"|"Official"|"2015"|"(Northwest Africa)"|"L3"|"600 g"|" "
"Northwest Africa 10296 **"|"Official"|"2015"|"(Northwest Africa)"|"L3.15"|"566 g"|" "
"Northwest Africa 10297 **"|"Official"|"2015"|"(Northwest Africa)"|"L3"|"900 g"|" "
"Northwest Africa 10298 **"|"Official"|"2015"|"(Northwest Africa)"|"L3.2"|"609 g"|" "
"Northwest Africa 10299 **"|"Official"|"2015"|"(Northwest Africa)"|"Martian (shergottite)"|"339 g"|" "
"Northwest Africa 10300 **"|"Official"|"2013"|"(Northwest Africa)"|"Diogenite"|"77.2 g"|" "
"Northwest Africa 10301 **"|"Official"|"2015"|"(Northwest Africa)"|"H5"|"240 g"|" "
"Northwest Africa 10302 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite-mmict"|"134.5 g"|" "
"Northwest Africa 10303 **"|"Official"|"2014"|"(Northwest Africa)"|"LL3"|"71 g"|" "
