"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Meteorite Hills 00449"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"1192 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00450"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"691 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00451"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"767 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00452 **"|"Official"|" "|"2000"|"Antarctica"|"L(LL)3.05"|"775 g"|"25(2) ANSMET"|"(-79.683330, 159.750000)  "
"Meteorite Hills 00453"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"266 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00454"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"487 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00455"|"Official"|" "|"2000"|"Antarctica"|"L5"|"489 g"|"25(2) ANSMET"|"(-79.683330, 159.750000)  "
"Meteorite Hills 00456 **"|"Official"|" "|"2000"|"Antarctica"|"LL5"|"576 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00457"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"709 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00458"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"688 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00459"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"1119 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00460"|"Official"|" "|"2000"|"Antarctica"|"H5"|"701 g"|"25(2) ANSMET"|"(-79.683330, 159.750000)  "
"Meteorite Hills 00461"|"Official"|" "|"2000"|"Antarctica"|"L6"|"518 g"|"25(2) ANSMET"|"(-79.683330, 159.750000)  "
"Meteorite Hills 00462"|"Official"|" "|"2000"|"Antarctica"|"L5"|"591 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00463"|"Official"|" "|"2000"|"Antarctica"|"L6"|"370 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00464"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"419 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00465"|"Official"|" "|"2000"|"Antarctica"|"L5"|"516 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00466"|"Official"|" "|"2000"|"Antarctica"|"LL5"|"297 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00467"|"Official"|" "|"2000"|"Antarctica"|"L5"|"423 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00468"|"Official"|" "|"2000"|"Antarctica"|"L5"|"362 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00469"|"Official"|" "|"2000"|"Antarctica"|"L5"|"273 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00470"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"456 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00471"|"Official"|" "|"2000"|"Antarctica"|"L5"|"367 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00472"|"Official"|" "|"2000"|"Antarctica"|"L6"|"348 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00473"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"270 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00474"|"Official"|" "|"2000"|"Antarctica"|"LL5"|"153.3 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00475"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"368 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00476"|"Official"|" "|"2000"|"Antarctica"|"L5"|"433 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00477"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"474 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00478"|"Official"|" "|"2000"|"Antarctica"|"L5"|"343 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00479"|"Official"|" "|"2000"|"Antarctica"|"LL6"|"315 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
"Meteorite Hills 00480"|"Official"|" "|"2000"|"Antarctica"|"L5"|"190.5 g"|"26(1) ANSMET"|"(-79.683330, 155.750000)  "
