"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Yamato 793395"|"Official"|"1979"|"Antarctica"|"L6"|"3.12 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793396"|"Official"|"1979"|"Antarctica"|"L3.7"|"364 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793397"|"Official"|"1979"|"Antarctica"|"L5"|"254 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793398"|"Official"|"1979"|"Antarctica"|"H4"|"16 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793399"|"Official"|"1979"|"Antarctica"|"L6"|"9.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793400"|"Official"|"1979"|"Antarctica"|"L4"|"8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793401"|"Official"|"1979"|"Antarctica"|"L6"|"2.55 kg"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793402"|"Official"|"1979"|"Antarctica"|"L6"|"161.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793403"|"Official"|"1979"|"Antarctica"|"H4"|"287 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793404"|"Official"|"1979"|"Antarctica"|"H4"|"6.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793405"|"Official"|"1979"|"Antarctica"|"H4"|"6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793406"|"Official"|"1979"|"Antarctica"|"H6"|"4.49 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793407"|"Official"|"1979"|"Antarctica"|"H6"|"2.15 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793408"|"Official"|"1979"|"Antarctica"|"H3.2-an"|"1140 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793409"|"Official"|"1979"|"Antarctica"|"H5"|"540 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793410"|"Official"|"1979"|"Antarctica"|"H4"|"45.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793411"|"Official"|"1979"|"Antarctica"|"L6"|"48.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793412"|"Official"|"1979"|"Antarctica"|"H4"|"53.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793413"|"Official"|"1979"|"Antarctica"|"H4"|"14.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793414"|"Official"|"1979"|"Antarctica"|"H4"|"15.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793415"|"Official"|"1979"|"Antarctica"|"H4"|"9.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793416"|"Official"|"1979"|"Antarctica"|"L6"|"5.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793417"|"Official"|"1979"|"Antarctica"|"H6"|"6.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793418"|"Official"|"1979"|"Antarctica"|"H4"|"6.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793419"|"Official"|"1979"|"Antarctica"|"H4"|"1.01 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793421"|"Official"|"1979"|"Antarctica"|"L6"|"188.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793422"|"Official"|"1979"|"Antarctica"|"L6"|"78.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793423"|"Official"|"1979"|"Antarctica"|"L6"|"106.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793424"|"Official"|"1979"|"Antarctica"|"L6"|"13.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793425"|"Official"|"1979"|"Antarctica"|"L6"|"13.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793426"|"Official"|"1979"|"Antarctica"|"H4"|"10.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793427"|"Official"|"1979"|"Antarctica"|"H4"|"24.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793428"|"Official"|"1979"|"Antarctica"|"H4"|"23.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793429"|"Official"|"1979"|"Antarctica"|"H4"|"3.97 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793430"|"Official"|"1979"|"Antarctica"|"H4"|"3.42 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793431"|"Official"|"1979"|"Antarctica"|"H4"|"4.15 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793432"|"Official"|"1979"|"Antarctica"|"L6"|"14.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793433"|"Official"|"1979"|"Antarctica"|"E3"|"3.08 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793434"|"Official"|"1979"|"Antarctica"|"H4"|"6.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793435"|"Official"|"1979"|"Antarctica"|"H5"|"23.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793436"|"Official"|"1979"|"Antarctica"|"H6"|"1.28 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793437"|"Official"|"1979"|"Antarctica"|"H5"|"78.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793438"|"Official"|"1979"|"Antarctica"|"L6"|"12.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793439"|"Official"|"1979"|"Antarctica"|"L6"|"7.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793440"|"Official"|"1979"|"Antarctica"|"L6"|"0.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793441"|"Official"|"1979"|"Antarctica"|"H4"|"2.78 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793442"|"Official"|"1979"|"Antarctica"|"H5"|"2.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793443"|"Official"|"1979"|"Antarctica"|"L6"|"10.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793444"|"Official"|"1979"|"Antarctica"|"H4"|"1099 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793445"|"Official"|"1979"|"Antarctica"|"H4"|"60.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793446"|"Official"|"1979"|"Antarctica"|"H4"|"6.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793447"|"Official"|"1979"|"Antarctica"|"L4"|"141.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793448"|"Official"|"1979"|"Antarctica"|"L6"|"242 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793449"|"Official"|"1979"|"Antarctica"|"L6"|"103.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793450"|"Official"|"1979"|"Antarctica"|"L6"|"6.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793451"|"Official"|"1979"|"Antarctica"|"L6"|"4.29 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793452"|"Official"|"1979"|"Antarctica"|"L6"|"5.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793453"|"Official"|"1979"|"Antarctica"|"L6"|"3.78 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793454"|"Official"|"1979"|"Antarctica"|"L6"|"2.18 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793455"|"Official"|"1979"|"Antarctica"|"H3"|"8.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793456"|"Official"|"1979"|"Antarctica"|"H4"|"9.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793457"|"Official"|"1979"|"Antarctica"|"H4"|"10 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793458"|"Official"|"1979"|"Antarctica"|"H6"|"2.74 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793459"|"Official"|"1979"|"Antarctica"|"H4"|"8.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793460"|"Official"|"1979"|"Antarctica"|"H4"|"7.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793461"|"Official"|"1979"|"Antarctica"|"H5"|"6.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793462"|"Official"|"1979"|"Antarctica"|"H6"|"2.09 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793463"|"Official"|"1979"|"Antarctica"|"H6"|"2.51 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793464"|"Official"|"1979"|"Antarctica"|"L6"|"2.8 kg"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793465"|"Official"|"1979"|"Antarctica"|"L6"|"18.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793466"|"Official"|"1979"|"Antarctica"|"L6"|"13.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793467"|"Official"|"1979"|"Antarctica"|"L6"|"6.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793468"|"Official"|"1979"|"Antarctica"|"L6"|"8.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793469"|"Official"|"1979"|"Antarctica"|"L6"|"1.16 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793470"|"Official"|"1979"|"Antarctica"|"L6"|"101.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793471"|"Official"|"1979"|"Antarctica"|"H"|"16.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793472"|"Official"|"1979"|"Antarctica"|"H6"|"10.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793473"|"Official"|"1979"|"Antarctica"|"H4"|"6.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793474"|"Official"|"1979"|"Antarctica"|"H4"|"5.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793475"|"Official"|"1979"|"Antarctica"|"H6"|"4.83 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793476"|"Official"|"1979"|"Antarctica"|"H6"|"3.15 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793477"|"Official"|"1979"|"Antarctica"|"H4"|"7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793478"|"Official"|"1979"|"Antarctica"|"H5"|"7.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793479"|"Official"|"1979"|"Antarctica"|"H5"|"5.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793480"|"Official"|"1979"|"Antarctica"|"L5"|"6.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793481"|"Official"|"1979"|"Antarctica"|"H6"|"72.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793482"|"Official"|"1979"|"Antarctica"|"LL6"|"56.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793483"|"Official"|"1979"|"Antarctica"|"L5"|"105.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793484"|"Official"|"1979"|"Antarctica"|"L5"|"15.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793485"|"Official"|"1979"|"Antarctica"|"L5"|"9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793486"|"Official"|"1979"|"Antarctica"|"L6"|"0.87 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793487"|"Official"|"1979"|"Antarctica"|"L4"|"17.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793488"|"Official"|"1979"|"Antarctica"|"H6"|"6.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793489"|"Official"|"1979"|"Antarctica"|"L6"|"4.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793490"|"Official"|"1979"|"Antarctica"|"L6"|"1.79 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793491"|"Official"|"1979"|"Antarctica"|"H4"|"3.06 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793492"|"Official"|"1979"|"Antarctica"|"L6"|"2.85 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793493"|"Official"|"1979"|"Antarctica"|"L6"|"1.85 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793494"|"Official"|"1979"|"Antarctica"|"L3"|"2.12 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793495"|"Official"|"1979 or 1980"|"Antarctica"|"CR2"|"45 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793496"|"Official"|"1979"|"Antarctica"|"L6"|"4.58 kg"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793497"|"Official"|"1979"|"Antarctica"|"Howardite"|"69.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793499"|"Official"|"1979"|"Antarctica"|"L4"|"10.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793500"|"Official"|"1979"|"Antarctica"|"CM2"|"5.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793501"|"Official"|"1979"|"Antarctica"|"H4"|"306 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793502"|"Official"|"1979"|"Antarctica"|"L"|"1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793503"|"Official"|"1979"|"Antarctica"|"H6"|"14.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793504"|"Official"|"1979"|"Antarctica"|"H4"|"2.42 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793505"|"Official"|"1979"|"Antarctica"|"H"|"1.12 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793506"|"Official"|"1979"|"Antarctica"|"LL6"|"939 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793507"|"Official"|"1979"|"Antarctica"|"H5"|"9.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793508"|"Official"|"1979"|"Antarctica"|"L6"|"165.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793509"|"Official"|"1979"|"Antarctica"|"L4"|"4.62 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793510"|"Official"|"1979"|"Antarctica"|"H4"|"322 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793511"|"Official"|"1979"|"Antarctica"|"L6"|"14.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793512"|"Official"|"1979"|"Antarctica"|"H5"|"16.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793514"|"Official"|"1979"|"Antarctica"|"H5"|"474 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793515"|"Official"|"1979"|"Antarctica"|"H5-6"|"441 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793516"|"Official"|"1979"|"Antarctica"|"H5"|"83.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793517"|"Official"|"1979"|"Antarctica"|"H5-6"|"91.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793518"|"Official"|"1979"|"Antarctica"|"H5"|"74.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793519"|"Official"|"1979"|"Antarctica"|"H5"|"50.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793520"|"Official"|"1979"|"Antarctica"|"H5"|"27.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793521"|"Official"|"1979"|"Antarctica"|"H6"|"30.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793522"|"Official"|"1979"|"Antarctica"|"H5-6"|"27.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793523"|"Official"|"1979"|"Antarctica"|"H5"|"13.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793524"|"Official"|"1979"|"Antarctica"|"H5-6"|"11.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793525"|"Official"|"1979"|"Antarctica"|"H6"|"9.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793526"|"Official"|"1979"|"Antarctica"|"H5-6"|"7.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793527"|"Official"|"1979"|"Antarctica"|"H5"|"3.94 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793528"|"Official"|"1979"|"Antarctica"|"H5"|"1.37 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793529"|"Official"|"1979"|"Antarctica"|"H5"|"1.58 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793530"|"Official"|"1979"|"Antarctica"|"CM2"|"3.33 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793531"|"Official"|"1979"|"Antarctica"|"H6"|"5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793533"|"Official"|"1979"|"Antarctica"|"LL6"|"510 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793534"|"Official"|"1979"|"Antarctica"|"L"|"706 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793535"|"Official"|"1979"|"Antarctica"|"H6"|"411 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793536"|"Official"|"1979"|"Antarctica"|"H6"|"87.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793537"|"Official"|"1979"|"Antarctica"|"H6"|"56.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793538"|"Official"|"1979"|"Antarctica"|"H"|"5.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793539"|"Official"|"1979"|"Antarctica"|"LL6"|"1224 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793540"|"Official"|"1979"|"Antarctica"|"H5"|"6.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793541"|"Official"|"1979"|"Antarctica"|"Howardite"|"24.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793542"|"Official"|"1979"|"Antarctica"|"L6"|"255 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793543"|"Official"|"1979"|"Antarctica"|"Howardite"|"20.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793544"|"Official"|"1979"|"Antarctica"|"Howardite"|"21.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793545"|"Official"|"1979"|"Antarctica"|"H5"|"37.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793546"|"Official"|"1979"|"Antarctica"|"Howardite"|"20.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793547"|"Official"|"1979"|"Antarctica"|"Eucrite-pmict"|"54 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793548"|"Official"|"1979"|"Antarctica"|"Eucrite-mmict"|"62.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793549"|"Official"|"1979"|"Antarctica"|"Eucrite-pmict"|"13.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793550"|"Official"|"1979"|"Antarctica"|"Howardite"|"6.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793551"|"Official"|"1979"|"Antarctica"|"H5"|"87.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793552"|"Official"|"1979"|"Antarctica"|"H4"|"29.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793553"|"Official"|"1979"|"Antarctica"|"H4"|"7.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793554"|"Official"|"1979"|"Antarctica"|"L5"|"3.72 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793555"|"Official"|"1979"|"Antarctica"|"H5"|"2.62 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793556"|"Official"|"1979"|"Antarctica"|"H4"|"65.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793557"|"Official"|"1979"|"Antarctica"|"Diogenite"|"5.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793558"|"Official"|"1979"|"Antarctica"|"L5"|"6.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793559"|"Official"|"1979"|"Antarctica"|"H6"|"2.34 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793560"|"Official"|"1979"|"Antarctica"|"H6"|"9.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793561"|"Official"|"1979"|"Antarctica"|"H6"|"5.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793562"|"Official"|"1979"|"Antarctica"|"H5"|"1.38 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793563"|"Official"|"1979"|"Antarctica"|"H4"|"27.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793564"|"Official"|"1979"|"Antarctica"|"CM2"|"7.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793565"|"Official"|"1979"|"Antarctica"|"LL3.0"|"16.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793566"|"Official"|"1979"|"Antarctica"|"L3"|"3.68 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793567"|"Official"|"1979"|"Antarctica"|"H3.4"|"700 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793568"|"Official"|"1979"|"Antarctica"|"H6"|"3.43 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793569"|"Official"|"1979"|"Antarctica"|"L6"|"430 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793570"|"Official"|"1979"|"Antarctica"|"Eucrite-mmict"|"43.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793571"|"Official"|"1979"|"Antarctica"|"L3.6"|"26 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793572"|"Official"|"1979"|"Antarctica"|"L3"|"7.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793573"|"Official"|"1979"|"Antarctica"|"L3.8"|"14.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793574"|"Official"|"1979"|"Antarctica"|"H3.5"|"88.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793575"|"Official"|"1979"|"Antarctica"|"R3.8"|"25 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793576"|"Official"|"1979"|"Antarctica"|"L3"|"1.38 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793577"|"Official"|"1979"|"Antarctica"|"Howardite"|"20.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793578"|"Official"|"1979"|"Antarctica"|"L3"|"3.48 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793579"|"Official"|"1979"|"Antarctica"|"H6"|"8.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793580"|"Official"|"1979"|"Antarctica"|"H6"|"37.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793581"|"Official"|"1979"|"Antarctica"|"C"|"11.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793582"|"Official"|"1979"|"Antarctica"|"H4"|"99.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793583"|"Official"|"1979"|"Antarctica"|"L6"|"8.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793584"|"Official"|"1979"|"Antarctica"|"LL6"|"21.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793585"|"Official"|"1979"|"Antarctica"|"L6"|"10.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793586"|"Official"|"1979"|"Antarctica"|"CM2"|"13.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793587"|"Official"|"1979"|"Antarctica"|"H6"|"43.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793588"|"Official"|"1979"|"Antarctica"|"L3"|"72.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793589"|"Official"|"1979"|"Antarctica"|"L3"|"51.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793590"|"Official"|"1979"|"Antarctica"|"L3"|"114 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793591"|"Official"|"1979"|"Antarctica"|"Eucrite"|"662 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793592"|"Official"|"1979"|"Antarctica"|"Aubrite"|"32 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793593"|"Official"|"1979"|"Antarctica"|"Eucrite"|"84.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793594"|"Official"|"1979"|"Antarctica"|"H5"|"803 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793595"|"Official"|"1979"|"Antarctica"|"CM2"|"48.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793596"|"Official"|"1979"|"Antarctica"|"LL3.2"|"62.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793597"|"Official"|"1979"|"Antarctica"|"L6"|"288 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793598"|"Official"|"1979"|"Antarctica"|"Iron"|"138.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793599"|"Official"|"1979"|"Antarctica"|"LL"|"119.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793600"|"Official"|"1979"|"Antarctica"|"Eucrite"|"54.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793601"|"Official"|"1979"|"Antarctica"|"CM2"|"13.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 793605"|"Official"|"1979"|"Antarctica"|"Martian (shergottite)"|"16 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794001"|"Official"|"1979"|"Antarctica"|"L6"|"97.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794002"|"Official"|"1979"|"Antarctica"|"Eucrite-pmict"|"105.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794003"|"Official"|"1979"|"Antarctica"|"H6"|"12.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794004"|"Official"|"1979"|"Antarctica"|"L6"|"11.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794005"|"Official"|"1979"|"Antarctica"|"L4"|"118.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794006"|"Official"|"1979"|"Antarctica"|"L4"|"257 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794007"|"Official"|"1979"|"Antarctica"|"H3.7"|"78.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794008"|"Official"|"1979"|"Antarctica"|"H3.6"|"19.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 794009"|"Official"|"1979"|"Antarctica"|"H3.8"|"54.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
