"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Yamato 792675"|"Official"|"1979"|"Antarctica"|"H3"|"6.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792679"|"Official"|"1979"|"Antarctica"|"H4"|"122.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792680"|"Official"|"1979"|"Antarctica"|"L6"|"134.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792681"|"Official"|"1979"|"Antarctica"|"H4"|"11.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792682"|"Official"|"1979"|"Antarctica"|"L6"|"9.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792683"|"Official"|"1979"|"Antarctica"|"L6"|"0.96 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792684"|"Official"|"1979"|"Antarctica"|"H4"|"25.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792685"|"Official"|"1979"|"Antarctica"|"H4"|"72.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792686"|"Official"|"1979"|"Antarctica"|"H4"|"39.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792687"|"Official"|"1979"|"Antarctica"|"H4"|"10.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792688"|"Official"|"1979"|"Antarctica"|"H4"|"48 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792689"|"Official"|"1979"|"Antarctica"|"H4"|"12.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792690"|"Official"|"1979"|"Antarctica"|"H4"|"10.9 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792691"|"Official"|"1979"|"Antarctica"|"H4"|"1.31 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792692"|"Official"|"1979"|"Antarctica"|"H5"|"39.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792693"|"Official"|"1979"|"Antarctica"|"H4"|"30.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792694"|"Official"|"1979"|"Antarctica"|"H4"|"12.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792695"|"Official"|"1979"|"Antarctica"|"H4"|"4.87 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792696"|"Official"|"1979"|"Antarctica"|"L5"|"1.83 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792698"|"Official"|"1979"|"Antarctica"|"H4"|"10.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792699"|"Official"|"1979"|"Antarctica"|"H4"|"13 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792700"|"Official"|"1979"|"Antarctica"|"H4"|"5.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792701"|"Official"|"1979"|"Antarctica"|"H4"|"4.92 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792702"|"Official"|"1979"|"Antarctica"|"H4"|"6.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792703"|"Official"|"1979"|"Antarctica"|"H4"|"4.82 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792704"|"Official"|"1979"|"Antarctica"|"H4"|"5.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792705"|"Official"|"1979"|"Antarctica"|"H4"|"3.86 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792706"|"Official"|"1979"|"Antarctica"|"H4"|"4.02 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792707"|"Official"|"1979"|"Antarctica"|"H4"|"3.55 g"|" NIPR"|"(-71.500000, 35.666670)  "
