"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Sayh al Uhaymir 438"|"Official"|" "|"2007"|"Al Wusta, Oman"|"H5"|"90.7 g"|" "|"(21.099050, 57.267670)  "
"Sayh al Uhaymir 439"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~5"|"37.9 g"|" "|"(20.545000, 56.674170)  "
"Sayh al Uhaymir 440"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~5"|"5.9 g"|" "|"(20.551570, 56.683080)  "
"Sayh al Uhaymir 441"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~3"|"11.7 g"|" "|"(20.550880, 56.683530)  "
"Sayh al Uhaymir 442"|"Official"|" "|"2007"|"Al Wusta, Oman"|"L~6"|"28.6 g"|" "|"(20.541220, 56.680550)  "
"Sayh al Uhaymir 443"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~5"|"4.7 g"|" "|"(20.538770, 56.674080)  "
"Sayh al Uhaymir 444"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~5"|"17.4 g"|" "|"(20.531800, 56.668700)  "
"Sayh al Uhaymir 445"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~5"|"31.3 g"|" "|"(20.532170, 56.671830)  "
"Sayh al Uhaymir 446"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~3"|"15.1 g"|" "|"(20.530720, 56.670970)  "
"Sayh al Uhaymir 447"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~3"|"32.8 g"|" "|"(20.550370, 56.685400)  "
"Sayh al Uhaymir 448"|"Official"|" "|"2007"|"Al Wusta, Oman"|"LL~5"|"2.5 g"|" "|"(20.545000, 56.673330)  "
"Sayh al Uhaymir 449 **"|"Official"|" "|"2006"|"Al Wusta, Oman"|"Lunar"|"16.5 g"|" "|"(21.040000, 57.315000)  "
"Sayh al Uhaymir 450"|"Official"|" "|"2006"|"Al Wusta, Oman"|"L4"|"1714 g"|" "|"(20.882500, 57.357230)  "
"Sayh al Uhaymir 451"|"Official"|" "|"2006"|"Al Wusta, Oman"|"H4"|"167.4 g"|" "|"(20.793250, 57.350650)  "
"Sayh al Uhaymir 452"|"Official"|" "|"2006"|"Al Wusta, Oman"|"H6"|"676 g"|" "|"(20.595170, 56.830230)  "
"Sayh al Uhaymir 453"|"Official"|" "|"2006"|"Al Wusta, Oman"|"L4"|"299 g"|" "|"(20.479280, 56.828980)  "
"Sayh al Uhaymir 454"|"Official"|" "|"2006"|"Al Wusta, Oman"|"L6"|"120.9 g"|" "|"(20.479280, 56.754420)  "
"Sayh al Uhaymir 455"|"Official"|" "|"2006"|"Al Wusta, Oman"|"H5"|"275 g"|" "|"(20.479550, 56.744350)  "
"Sayh al Uhaymir 456"|"Official"|" "|"2006"|"Al Wusta, Oman"|"L6"|"94.1 g"|" "|"(20.438220, 56.703830)  "
"Sayh al Uhaymir 457"|"Official"|" "|"2006"|"Al Wusta, Oman"|"H4"|"16.9 g"|" "|"(20.339280, 56.564450)  "
"Sayh al Uhaymir 463"|"Official"|" "|"2008"|"Al Wusta, Oman"|"L~6"|"519 g"|" "|"(20.015850, 56.558050)  "
"Sayh al Uhaymir 464"|"Official"|" "|"2008"|"Al Wusta, Oman"|"LL5"|"210 g"|" "|"(20.025570, 56.558270)  "
"Sayh al Uhaymir 465"|"Official"|" "|"2008"|"Al Wusta, Oman"|"H~6"|"100.5 g"|" "|"(20.013600, 56.557870)  "
"Sayh al Uhaymir 466"|"Official"|" "|"2008"|"Al Wusta, Oman"|"L/LL~5"|"228 g"|" "|"(20.097000, 56.624470)  "
"Sayh al Uhaymir 467"|"Official"|" "|"2008"|"Al Wusta, Oman"|"L~5"|"272 g"|" "|"(20.159980, 56.646250)  "
"Sayh al Uhaymir 468"|"Official"|" "|"2003"|"Al Wusta, Oman"|"H~6"|"59.8 g"|" "|"(20.997820, 57.294950)  "
"Sayh al Uhaymir 469"|"Official"|" "|"2003"|"Al Wusta, Oman"|"L~6"|"366 g"|" "|"(20.996400, 57.287870)  "
"Sayh al Uhaymir 470"|"Official"|" "|"2001"|"Al Wusta, Oman"|"H4"|"127.3 g"|" "|"(21.087870, 56.941280)  "
"Sayh al Uhaymir 471"|"Official"|" "|"2002"|"Al Wusta, Oman"|"L4-6"|"2.08 kg"|" "|"(20.511320, 57.292870)  "
"Sayh al Uhaymir 472"|"Official"|" "|"2002"|"Al Wusta, Oman"|"H5"|"1031 g"|" "|"(20.386120, 56.938830)  "
"Sayh al Uhaymir 473"|"Official"|" "|"2002"|"Al Wusta, Oman"|"L4"|"3.02 kg"|" "|"(20.051680, 56.505830)  "
