"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Grove Mountains 020705"|"Official"|"2003"|"Antarctica"|"L5"|"0.11 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020706"|"Official"|"2003"|"Antarctica"|"L5"|"70 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020707"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020708"|"Official"|"2003"|"Antarctica"|"L5"|"90 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020709"|"Official"|"2003"|"Antarctica"|"L6"|"0.16 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020710"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020711"|"Official"|"2003"|"Antarctica"|"L5"|"70 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020712"|"Official"|"2003"|"Antarctica"|"L6"|"0.1 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020713"|"Official"|"2003"|"Antarctica"|"L4"|"0.11 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020714"|"Official"|"2003"|"Antarctica"|"L5"|"0.1 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020715"|"Official"|"2003"|"Antarctica"|"L6"|"80 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020716"|"Official"|"2003"|"Antarctica"|"L5"|"80 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020717"|"Official"|"2003"|"Antarctica"|"L6"|"0.11 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020718"|"Official"|"2003"|"Antarctica"|"L5"|"40 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020719"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020720"|"Official"|"2003"|"Antarctica"|"L5"|"0.1 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020721"|"Official"|"2003"|"Antarctica"|"L5"|"40 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020722"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020723"|"Official"|"2003"|"Antarctica"|"L6"|"70 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020724"|"Official"|"2003"|"Antarctica"|"L6"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020725"|"Official"|"2003"|"Antarctica"|"L6"|"0.14 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020726"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020727"|"Official"|"2003"|"Antarctica"|"L5"|"80 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020728"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020729"|"Official"|"2003"|"Antarctica"|"L4"|"90 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020730"|"Official"|"2003"|"Antarctica"|"L5"|"40 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020731"|"Official"|"2003"|"Antarctica"|"L5"|"80 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020732"|"Official"|"2003"|"Antarctica"|"L6"|"0.14 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020734"|"Official"|"2003"|"Antarctica"|"L5"|"0.1 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020735"|"Official"|"2003"|"Antarctica"|"L5"|"90 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020737"|"Official"|"2003"|"Antarctica"|"L6"|"0.12 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020738"|"Official"|"2003"|"Antarctica"|"L5"|"0.12 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020739"|"Official"|"2003"|"Antarctica"|"L6"|"90 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020740"|"Official"|"2003"|"Antarctica"|"L6"|"0.1 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020741"|"Official"|"2003"|"Antarctica"|"L6"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020742"|"Official"|"2003"|"Antarctica"|"L4"|"40 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020743"|"Official"|"2003"|"Antarctica"|"L5"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020744"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020745"|"Official"|"2003"|"Antarctica"|"L6"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020746"|"Official"|"2003"|"Antarctica"|"L5"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020747"|"Official"|"2003"|"Antarctica"|"L5"|"0.11 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020748"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020749"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020750"|"Official"|"2003"|"Antarctica"|"L6"|"0.12 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020751"|"Official"|"2003"|"Antarctica"|"L5"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020752"|"Official"|"2003"|"Antarctica"|"L5"|"0.1 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020753"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020754"|"Official"|"2003"|"Antarctica"|"L5"|"0.21 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020755"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020756"|"Official"|"2003"|"Antarctica"|"L6"|"0.15 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020757"|"Official"|"2003"|"Antarctica"|"L6"|"90 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020758"|"Official"|"2003"|"Antarctica"|"L6"|"90 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020759"|"Official"|"2003"|"Antarctica"|"L6"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020760"|"Official"|"2003"|"Antarctica"|"L6"|"80 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020761"|"Official"|"2003"|"Antarctica"|"L5"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020762"|"Official"|"2003"|"Antarctica"|"L6"|"90 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020763"|"Official"|"2003"|"Antarctica"|"L4"|"70 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020764"|"Official"|"2003"|"Antarctica"|"L5"|"40 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020765"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020766"|"Official"|"2003"|"Antarctica"|"L5"|"50 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020767"|"Official"|"2003"|"Antarctica"|"L6"|"60 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020768"|"Official"|"2003"|"Antarctica"|"L5"|"40 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020769"|"Official"|"2003"|"Antarctica"|"L5"|"30 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020770"|"Official"|"2003"|"Antarctica"|"L5"|"40 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020771"|"Official"|"2003"|"Antarctica"|"L5"|"0.18 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020772"|"Official"|"2003"|"Antarctica"|"L5"|"0.26 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020773"|"Official"|"2003"|"Antarctica"|"L6"|"0.47 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020774"|"Official"|"2003"|"Antarctica"|"L5"|"0.42 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020775"|"Official"|"2003"|"Antarctica"|"L5"|"0.47 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020776"|"Official"|"2003"|"Antarctica"|"L5"|"0.38 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020777"|"Official"|"2003"|"Antarctica"|"L5"|"0.34 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020778"|"Official"|"2003"|"Antarctica"|"L5"|"0.26 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020779"|"Official"|"2003"|"Antarctica"|"L5"|"0.35 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020780"|"Official"|"2003"|"Antarctica"|"L5"|"0.38 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020781"|"Official"|"2003"|"Antarctica"|"L4"|"0.37 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020782"|"Official"|"2003"|"Antarctica"|"L5"|"0.29 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020783"|"Official"|"2003"|"Antarctica"|"L5"|"0.26 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020784"|"Official"|"2003"|"Antarctica"|"L6"|"0.3 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020785"|"Official"|"2003"|"Antarctica"|"L5"|"0.41 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020786"|"Official"|"2003"|"Antarctica"|"L6"|"0.29 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020787"|"Official"|"2003"|"Antarctica"|"L5"|"0.34 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020788"|"Official"|"2003"|"Antarctica"|"L5"|"0.26 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020789"|"Official"|"2003"|"Antarctica"|"L6"|"0.16 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020790"|"Official"|"2003"|"Antarctica"|"L6"|"0.18 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020791"|"Official"|"2003"|"Antarctica"|"L6"|"0.23 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020792"|"Official"|"2003"|"Antarctica"|"L5"|"0.24 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020793"|"Official"|"2003"|"Antarctica"|"L6"|"0.31 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020794"|"Official"|"2003"|"Antarctica"|"L6"|"0.21 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020795"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020796"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020797"|"Official"|"2003"|"Antarctica"|"L6"|"3.96 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020798"|"Official"|"2003"|"Antarctica"|"L5"|"2.78 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020799"|"Official"|"2003"|"Antarctica"|"L4"|"1.89 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020800"|"Official"|"2003"|"Antarctica"|"L6"|"1.22 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020801"|"Official"|"2003"|"Antarctica"|"L6"|"0.87 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020802"|"Official"|"2003"|"Antarctica"|"L5"|"0.59 g"|" CARE"|"(-72.983889, 75.250000)  "
"Grove Mountains 020803"|"Official"|"2003"|"Antarctica"|"L5"|"0.57 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020804"|"Official"|"2003"|"Antarctica"|"L6"|"0.43 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020805"|"Official"|"2003"|"Antarctica"|"H6"|"1.88 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020806"|"Official"|"2003"|"Antarctica"|"L6"|"2 g"|" CARE"|"(-72.983330, 75.249440)  "
"Grove Mountains 020807"|"Official"|"2003"|"Antarctica"|"L5"|"1.92 g"|" CARE"|"(-72.983330, 75.249440)  "
"Grove Mountains 020808"|"Official"|"2003"|"Antarctica"|"L6"|"2.09 g"|" CARE"|"(-72.983333, 75.249444)  "
"Grove Mountains 020809"|"Official"|"2003"|"Antarctica"|"L5"|"2.19 g"|" CARE"|"(-72.983333, 75.249444)  "
"Grove Mountains 020810"|"Official"|"2003"|"Antarctica"|"L6"|"1.28 g"|" CARE"|"(-72.983300, 75.249400)  "
"Grove Mountains 020811"|"Official"|"2003"|"Antarctica"|"L5"|"0.92 g"|" CARE"|"(-72.983333, 75.249444)  "
"Grove Mountains 020812"|"Official"|"2003"|"Antarctica"|"L5"|"0.74 g"|" CARE"|"(-72.983330, 75.249440)  "
