"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Grove Mountains 020602"|"Official"|"2003"|"Antarctica"|"L6"|"0.77 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020603"|"Official"|"2003"|"Antarctica"|"L5"|"0.4 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020604"|"Official"|"2003"|"Antarctica"|"L6"|"0.56 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020605"|"Official"|"2003"|"Antarctica"|"L5"|"0.37 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020606"|"Official"|"2003"|"Antarctica"|"L5"|"0.34 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020607"|"Official"|"2003"|"Antarctica"|"L5"|"0.3 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020608"|"Official"|"2003"|"Antarctica"|"L5"|"0.3 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020609"|"Official"|"2003"|"Antarctica"|"L6"|"0.25 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020610"|"Official"|"2003"|"Antarctica"|"L5"|"0.32 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020611"|"Official"|"2003"|"Antarctica"|"L6"|"0.5 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020612"|"Official"|"2003"|"Antarctica"|"L6"|"0.38 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020613"|"Official"|"2003"|"Antarctica"|"L5"|"0.56 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020614"|"Official"|"2003"|"Antarctica"|"L5"|"0.32 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020615"|"Official"|"2003"|"Antarctica"|"L5"|"0.44 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020616"|"Official"|"2003"|"Antarctica"|"L5"|"0.38 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020617"|"Official"|"2003"|"Antarctica"|"L4"|"0.34 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020618"|"Official"|"2003"|"Antarctica"|"L5"|"0.26 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020619"|"Official"|"2003"|"Antarctica"|"L5"|"0.47 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020620"|"Official"|"2003"|"Antarctica"|"L5"|"0.49 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020621"|"Official"|"2003"|"Antarctica"|"L5"|"0.23 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020622"|"Official"|"2003"|"Antarctica"|"L5"|"0.23 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020623"|"Official"|"2003"|"Antarctica"|"L5"|"0.24 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020624"|"Official"|"2003"|"Antarctica"|"L5"|"0.27 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020625"|"Official"|"2003"|"Antarctica"|"H5"|"0.26 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020626"|"Official"|"2003"|"Antarctica"|"L5"|"0.23 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020627"|"Official"|"2003"|"Antarctica"|"L5"|"0.32 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020628"|"Official"|"2003"|"Antarctica"|"L5"|"0.3 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020629"|"Official"|"2003"|"Antarctica"|"L5"|"0.31 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020630"|"Official"|"2003"|"Antarctica"|"L5"|"0.26 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020631"|"Official"|"2003"|"Antarctica"|"L5"|"0.24 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020632"|"Official"|"2003"|"Antarctica"|"L5"|"0.27 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020633"|"Official"|"2003"|"Antarctica"|"L5"|"0.3 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020634"|"Official"|"2003"|"Antarctica"|"L6"|"0.29 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020635"|"Official"|"2003"|"Antarctica"|"L6"|"0.17 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020636"|"Official"|"2003"|"Antarctica"|"L5"|"0.19 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020637"|"Official"|"2003"|"Antarctica"|"L5"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020638"|"Official"|"2003"|"Antarctica"|"L6"|"0.17 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020639"|"Official"|"2003"|"Antarctica"|"L5"|"0.25 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020640"|"Official"|"2003"|"Antarctica"|"L5"|"0.23 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020641"|"Official"|"2003"|"Antarctica"|"L5"|"0.25 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020642"|"Official"|"2003"|"Antarctica"|"L5"|"0.24 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020643"|"Official"|"2003"|"Antarctica"|"L5"|"0.22 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020644"|"Official"|"2003"|"Antarctica"|"L5"|"0.11 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020645"|"Official"|"2003"|"Antarctica"|"L5"|"0.23 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020646"|"Official"|"2003"|"Antarctica"|"L5"|"0.1 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020647"|"Official"|"2003"|"Antarctica"|"L5"|"0.23 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020648"|"Official"|"2003"|"Antarctica"|"L5"|"0.18 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020650"|"Official"|"2003"|"Antarctica"|"L5"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020651"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020652"|"Official"|"2003"|"Antarctica"|"L5"|"0.23 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020653"|"Official"|"2003"|"Antarctica"|"L5"|"0.28 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020654"|"Official"|"2003"|"Antarctica"|"L5"|"0.24 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020655"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020656"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020657"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020658"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020659"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020660"|"Official"|"2003"|"Antarctica"|"L6"|"0.22 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020661"|"Official"|"2003"|"Antarctica"|"L5"|"0.13 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020662"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020663"|"Official"|"2003"|"Antarctica"|"L5"|"0.12 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020664"|"Official"|"2003"|"Antarctica"|"L6"|"0.18 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020665"|"Official"|"2003"|"Antarctica"|"L6"|"0.15 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020666"|"Official"|"2003"|"Antarctica"|"L5"|"0.17 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020667"|"Official"|"2003"|"Antarctica"|"L6"|"0.16 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020668"|"Official"|"2003"|"Antarctica"|"L5"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020669"|"Official"|"2003"|"Antarctica"|"L5"|"0.18 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020670"|"Official"|"2003"|"Antarctica"|"L5"|"0.18 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020671"|"Official"|"2003"|"Antarctica"|"L5"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020672"|"Official"|"2003"|"Antarctica"|"L5"|"90 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020673"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020674"|"Official"|"2003"|"Antarctica"|"L5"|"0.13 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020675"|"Official"|"2003"|"Antarctica"|"L5"|"0.12 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020676"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020677"|"Official"|"2003"|"Antarctica"|"L5"|"0.16 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020678"|"Official"|"2003"|"Antarctica"|"L5"|"0.17 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020679"|"Official"|"2003"|"Antarctica"|"L5"|"70 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020680"|"Official"|"2003"|"Antarctica"|"H6"|"90 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020681"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020682"|"Official"|"2003"|"Antarctica"|"L5"|"80 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020683"|"Official"|"2003"|"Antarctica"|"L5"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020684"|"Official"|"2003"|"Antarctica"|"L6"|"0.13 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020685"|"Official"|"2003"|"Antarctica"|"L4"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020686"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020687"|"Official"|"2003"|"Antarctica"|"L6"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020688"|"Official"|"2003"|"Antarctica"|"L4"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020689"|"Official"|"2003"|"Antarctica"|"L5"|"0.15 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020690"|"Official"|"2003"|"Antarctica"|"L4"|"0.13 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020691"|"Official"|"2003"|"Antarctica"|"L5"|"40 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020692"|"Official"|"2003"|"Antarctica"|"L5"|"0.1 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020693"|"Official"|"2003"|"Antarctica"|"L6"|"0.14 g"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020694"|"Official"|"2003"|"Antarctica"|"L6"|"80 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020695"|"Official"|"2003"|"Antarctica"|"L5"|"70 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020696"|"Official"|"2003"|"Antarctica"|"L5"|"70 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020697"|"Official"|"2003"|"Antarctica"|"L5"|"60 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020698"|"Official"|"2003"|"Antarctica"|"L4"|"60 mg"|" CARE"|"(-72.983890, 75.246390)  "
"Grove Mountains 020699"|"Official"|"2003"|"Antarctica"|"L5"|"0.54 g"|" CARE"|"(-72.983610, 75.251110)  "
"Grove Mountains 020700"|"Official"|"2003"|"Antarctica"|"L6"|"21.7 g"|" CARE"|"(-72.983889, 75.245556)  "
"Grove Mountains 020701"|"Official"|"2003"|"Antarctica"|"L6"|"0.12 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020702"|"Official"|"2003"|"Antarctica"|"H5"|"0.11 g"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020703"|"Official"|"2003"|"Antarctica"|"L6"|"80 mg"|" CARE"|"(-72.983890, 75.250000)  "
"Grove Mountains 020704"|"Official"|"2003"|"Antarctica"|"L5"|"80 mg"|" CARE"|"(-72.983890, 75.250000)  "
