"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"(Lat,Long)"
"Northwest Africa 711"|"Official"|"2000"|"(Northwest Africa)"|"L3.8"|"1350 g"|" "
"Northwest Africa 712"|"Official"|"2000"|"(Northwest Africa)"|"L3.8"|"610 g"|" "
"Northwest Africa 713"|"Official"|"2000"|"(Northwest Africa)"|"L5"|"600 g"|" "
"Northwest Africa 714"|"Official"|"2000"|"(Northwest Africa)"|"L6"|"2.85 kg"|" "
"Northwest Africa 715"|"Official"|"2000"|"(Northwest Africa)"|"H4"|"1640 g"|" "
"Northwest Africa 716"|"Official"|"2000"|"(Northwest Africa)"|"H3.8"|"312 g"|" "
"Northwest Africa 717"|"Official"|"2001"|"(Northwest Africa)"|"EL6"|"105 g"|" "
"Northwest Africa 720 **"|"Official"|"2001"|"Morocco"|"LL6"|"118.7 g"|" "
"Northwest Africa 721 **"|"Official"|"2001"|"Morocco"|"CR2"|"194 g"|" "
"Northwest Africa 722"|"Official"|"2000"|"Meknès-Tafilalet, Morocco"|"L-imp melt"|"1280 g"|"(31.150000, -4.250000)  "
"Northwest Africa 723"|"Official"|"2000"|"Bechar, Algeria"|"CV3"|"395 g"|"(29.883330, -5.500000)  "
"Northwest Africa 724"|"Official"|" "|"Souss-Massa-Draâ, Morocco"|"LL3"|"1200 g"|"(30.233330, -5.866670)  "
"Northwest Africa 725 **"|"Official"|" "|"Meknès-Tafilalet, Morocco"|"Winonaite"|"3.82 kg"|"(30.600000, -5.050000)  "
"Northwest Africa 726"|"Official"|" "|"Meknès-Tafilalet, Morocco"|"H4"|"354 g"|"(31.033330, -4.000000)  "
"Northwest Africa 727"|"Official"|"1998"|"Souss-Massa-Draâ, Morocco"|"L4"|"364 g"|"(30.333330, -5.750000)  "
"Northwest Africa 728"|"Official"|"1998"|"Souss-Massa-Draâ, Morocco"|"L4"|"454 g"|"(30.333330, -5.750000)  "
"Northwest Africa 729"|"Official"|"1998"|"Souss-Massa-Draâ, Morocco"|"L5"|"319 g"|"(30.333330, -5.750000)  "
"Northwest Africa 730"|"Official"|"1998"|"Souss-Massa-Draâ, Morocco"|"L4"|"150 g"|"(30.333330, -5.750000)  "
"Northwest Africa 731"|"Official"|"1999"|"Souss-Massa-Draâ, Morocco"|"H4"|"380 g"|"(30.333330, -5.750000)  "
"Northwest Africa 732"|"Official"|"1999"|"Meknès-Tafilalet, Morocco"|"H5"|"580 g"|"(30.550000, -4.966670)  "
"Northwest Africa 733"|"Official"|"1999"|"Oriental, Morocco"|"L5"|"319 g"|"(32.333330, -3.500000)  "
"Northwest Africa 734"|"Official"|"1999"|"Oriental, Morocco"|"L5"|"1150 g"|"(32.333330, -3.500000)  "
"Northwest Africa 735"|"Official"|"1999"|"Bechar, Algeria"|"CK4"|"161 g"|"(30.616670, -4.116670)  "
"Northwest Africa 739 **"|"Official"|"1999"|"(Northwest Africa)"|"CH3"|"60 g"|" "
"Northwest Africa 740"|"Official"|"2000"|"Bechar, Algeria"|"H5"|"1000 g"|"(30.250000, -4.416670)  "
"Northwest Africa 741"|"Official"|"2000 or 2001"|"Bechar, Algeria"|"H6"|"989 g"|"(30.250000, -4.416670)  "
"Northwest Africa 742"|"Official"|"2000"|"(Northwest Africa)"|"H3.8"|"17 g"|" "
"Northwest Africa 743"|"Official"|"2000"|"(Northwest Africa)"|"L5"|"175 g"|" "
"Northwest Africa 744"|"Official"|"2000"|"(Northwest Africa)"|"H4"|"24 g"|" "
"Northwest Africa 750"|"Official"|"2000"|"(Northwest Africa)"|"H6"|"964 g"|" "
"Northwest Africa 751"|"Official"|"2000"|"(Northwest Africa)"|"L6"|"386 g"|" "
"Northwest Africa 752"|"Official"|"2000"|"(Northwest Africa)"|"LL4/5"|"3.45 kg"|" "
"Northwest Africa 753 **"|"Official"|"2000 or 2001"|"(Northwest Africa)"|"R3.9"|"12 kg"|" "
"Northwest Africa 754"|"Official"|"2000"|"(Northwest Africa)"|"L6"|"30 kg"|" "
"Northwest Africa 755 **"|"Official"|"2000 or 2001"|"(Northwest Africa)"|"R3.7"|"352 g"|" "
"Northwest Africa 756"|"Official"|"2000"|"(Northwest Africa)"|"L6"|"20 kg"|" "
"Northwest Africa 757"|"Official"|"2000"|"(Northwest Africa)"|"LL6"|"714 g"|" "
"Northwest Africa 758"|"Official"|"2000"|"(Northwest Africa)"|"H6"|"395 g"|" "
"Northwest Africa 760"|"Official"|"2000"|"(Northwest Africa)"|"CV3"|"1581 g"|" "
"Northwest Africa 761"|"Official"|"2000"|"(Northwest Africa)"|"L6"|"834 g"|" "
"Northwest Africa 762"|"Official"|"2000"|"(Northwest Africa)"|"L3.2"|"2.24 kg"|" "
"Northwest Africa 763"|"Official"|"2000"|"(Northwest Africa)"|"CO3"|"854 g"|" "
"Northwest Africa 764"|"Official"|"2000"|"(Northwest Africa)"|"LL3.5"|"1015 g"|" "
"Northwest Africa 765"|"Official"|"2000"|"Meknès-Tafilalet, Morocco"|"CK4/5"|"767 g"|"(31.566670, -4.516670)  "
