"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Grove Mountains 130361"|"Official"|" "|"2014"|"Antarctica"|"L6"|"1.33 g"|" CARE"|"(-72.778330, 75.326110)  "
"Grove Mountains 130362"|"Official"|" "|"2014"|"Antarctica"|"L6"|"1.37 g"|" CARE"|"(-72.777780, 75.327780)  "
"Grove Mountains 130363"|"Official"|" "|"2014"|"Antarctica"|"L4"|"1.05 g"|" CARE"|"(-72.778060, 75.327500)  "
"Grove Mountains 130364"|"Official"|" "|"2014"|"Antarctica"|"L5"|"1.09 g"|" CARE"|"(-72.778330, 75.326110)  "
"Grove Mountains 130365"|"Official"|" "|"2014"|"Antarctica"|"L6"|"0.93 g"|" CARE"|"(-72.778330, 75.326670)  "
"Grove Mountains 130366"|"Official"|" "|"2014"|"Antarctica"|"L6"|"0.93 g"|" CARE"|"(-72.778330, 75.326940)  "
"Grove Mountains 130367"|"Official"|" "|"2014"|"Antarctica"|"L5"|"0.56 g"|" CARE"|"(-72.778060, 75.327780)  "
"Grove Mountains 130368"|"Official"|" "|"2014"|"Antarctica"|"L5"|"0.49 g"|" CARE"|"(-72.778060, 75.327500)  "
"Grove Mountains 130369"|"Official"|" "|"2014"|"Antarctica"|"L5"|"0.69 g"|" CARE"|"(-72.778060, 75.327220)  "
"Grove Mountains 130370"|"Official"|" "|"2014"|"Antarctica"|"L6"|"0.64 g"|" CARE"|"(-72.778330, 75.326670)  "
"Grove Mountains 130371"|"Official"|" "|"2014"|"Antarctica"|"L4"|"0.46 g"|" CARE"|"(-72.778330, 75.326110)  "
"Grove Mountains 130372"|"Official"|" "|"2014"|"Antarctica"|"L6"|"0.48 g"|" CARE"|"(-72.778330, 75.325830)  "
"Grove Mountains 130373"|"Official"|" "|"2014"|"Antarctica"|"L5"|"0.7 g"|" CARE"|"(-72.778330, 75.326940)  "
"Grove Mountains 130374"|"Official"|" "|"2014"|"Antarctica"|"L6"|"0.65 g"|" CARE"|"(-72.778610, 75.326390)  "
"Grove Mountains 130375"|"Official"|" "|"2014"|"Antarctica"|"L5"|"0.23 g"|" CARE"|"(-72.778610, 75.325000)  "
"Grove Mountains 130376"|"Official"|" "|"2014"|"Antarctica"|"L5"|"0.37 g"|" CARE"|"(-72.778610, 75.325280)  "
"Grove Mountains 130377"|"Official"|" "|"2014"|"Antarctica"|"L5"|"0.31 g"|" CARE"|"(-72.778610, 75.325560)  "
