"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Northwest Africa 14081 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Eucrite-mmict"|"1555 g"|" "|" "
"Northwest Africa 14082 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"L4/5"|"877 g"|" "|" "
"Northwest Africa 14083 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"LL6"|"2.72 kg"|" "|" "
"Northwest Africa 14084 **"|"Official"|" "|"2020"|"(Northwest Africa)"|"H5"|"4.42 kg"|" "|" "
"Northwest Africa 14085 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Eucrite-unbr"|"429 g"|" "|" "
"Northwest Africa 14086 **"|"Official"|" "|"2021"|"Morocco"|"Ureilite-pmict"|"17.5 g"|" "|" "
"Northwest Africa 14087 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"LL7"|"16.6 g"|" "|" "
"Northwest Africa 14088 **"|"Official"|" "|"2021"|"Mali"|"Lunar (troct. anorth.)"|"2.7 kg"|" "|" "
"Northwest Africa 14089 **"|"Official"|" "|"2020"|"Algeria"|"Eucrite"|"683 g"|" "|" "
"Northwest Africa 14091 **"|"Official"|" "|"2013"|"Algeria"|"Eucrite"|"37 g"|" "|" "
"Northwest Africa 14092 **"|"Official"|" "|"2012"|"Morocco"|"Ureilite"|"371 g"|" "|" "
"Northwest Africa 14093 **"|"Official"|" "|"2016"|"(Northwest Africa)"|"Mesosiderite"|"12 kg"|" "|" "
"Northwest Africa 14094 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"CM2"|"30.6 g"|" "|" "
"Northwest Africa 14095 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"CM2"|"14.3 g"|" "|" "
"Northwest Africa 14096 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"CK5"|"93.4 g"|" "|" "
"Northwest Africa 14097 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"CM2"|"39.3 g"|" "|" "
"Northwest Africa 14098 **"|"Official"|" "|"2017"|"Morocco"|"LL4"|"728 g"|" "|" "
"Northwest Africa 14099 **"|"Official"|" "|"2021"|"Algeria"|"Diogenite"|"400 g"|" "|" "
"Northwest Africa 14100 **"|"Official"|" "|"2021"|"Algeria"|"CV3"|"561 g"|" "|" "
"Northwest Africa 14101 **"|"Official"|" "|"2021"|"Algeria"|"R3-5"|"452 g"|" "|" "
"Northwest Africa 14102 **"|"Official"|" "|"2020"|"Morocco"|"Eucrite-br"|"40.3 g"|" "|" "
"Northwest Africa 14103"|"Official"|" "|"2021"|"(Northwest Africa)"|"LL7"|"282 g"|" "|" "
"Northwest Africa 14104"|"Official"|" "|"2018"|"Morocco"|"L6"|"898 g"|" "|" "
"Northwest Africa 14105"|"Official"|" "|"2018"|"Morocco"|"L6"|"709 g"|" "|" "
"Northwest Africa 14106"|"Official"|" "|"2017"|"Mauritania"|"H6"|"1390 g"|" "|" "
"Northwest Africa 14107 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Martian (shergottite)"|"43.2 g"|" "|" "
"Northwest Africa 14108 **"|"Official"|" "|"2019"|"Morocco"|"Eucrite-melt breccia"|"1224 g"|" "|" "
"Northwest Africa 14109 **"|"Official"|" "|"2017"|"Morocco"|"H6"|"7.6 kg"|" "|" "
"Northwest Africa 14110 **"|"Official"|" "|"2021"|"Tindouf, Algeria"|"CO3"|"700 g"|" "|" "
"Northwest Africa 14111 **"|"Official"|" "|"2021"|"Tindouf, Algeria"|"Eucrite"|"4.77 kg"|" "|" "
"Northwest Africa 14112 **"|"Official"|" "|"2021"|"Tindouf, Algeria"|"Eucrite-melt breccia"|"3.4 kg"|" "|" "
"Northwest Africa 14113 **"|"Official"|" "|"2021"|"Algeria"|"CM2"|"350 g"|" "|" "
"Northwest Africa 14114 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"CK3"|"350 g"|" "|" "
"Northwest Africa 14115 **"|"Official"|" "|"2019"|"(Northwest Africa)"|"H4"|"324 g"|" "|" "
"Northwest Africa 14116 **"|"Official"|" "|"2019"|"(Northwest Africa)"|"L3"|"234 g"|" "|" "
"Northwest Africa 14117 **"|"Official"|" "|"2019"|"(Northwest Africa)"|"H6"|"446 g"|" "|" "
"Northwest Africa 14118 **"|"Official"|" "|"2019"|"(Northwest Africa)"|"H4"|"732 g"|" "|" "
"Northwest Africa 14119 **"|"Official"|" "|"2020"|"(Northwest Africa)"|"CK4"|"2.51 kg"|" "|" "
"Northwest Africa 14120 **"|"Official"|" "|"2019"|"(Northwest Africa)"|"H4"|"394 g"|" "|" "
"Northwest Africa 14121 **"|"Official"|" "|"2018"|"(Northwest Africa)"|"CO3"|"808 g"|" "|" "
"Northwest Africa 14122 **"|"Official"|" "|"2019"|"(Northwest Africa)"|"H4"|"723 g"|" "|" "
"Northwest Africa 14123 **"|"Official"|" "|"2019"|"(Northwest Africa)"|"H4"|"276 g"|" "|" "
"Northwest Africa 14124 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Howardite"|"188 g"|" "|" "
"Northwest Africa 14125 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Eucrite-mmict"|"1200 g"|" "|" "
"Northwest Africa 14126 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"R3"|"2.59 kg"|" "|" "
"Northwest Africa 14127 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Martian (shergottite)"|"146 g"|" "|" "
"Northwest Africa 14128 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"CK5"|"346 g"|" "|" "
"Northwest Africa 14129 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Diogenite-melt breccia"|"382 g"|" "|" "
"Northwest Africa 14130 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"LL6"|"844 g"|" "|" "
"Northwest Africa 14131 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Eucrite"|"5.5 kg"|" "|" "
"Northwest Africa 14132 **"|"Official"|" "|"2021"|"Tindouf, Algeria"|"L3-4"|"3.4 kg"|" "|" "
"Northwest Africa 14133 **"|"Official"|" "|"2020"|"Morocco"|"H5"|"2.06 kg"|" "|" "
"Northwest Africa 14134 **"|"Official"|" "|"2021"|"Tindouf, Algeria"|"lunar (feldsp. breccia)"|"324 g"|" "|" "
"Northwest Africa 14135 **"|"Official"|" "|"2018"|"Morocco"|"CV3"|"34 g"|" "|" "
"Northwest Africa 14136 **"|"Official"|" "|"2021"|"(Northwest Africa)"|"Diogenite-olivine"|"3.7 kg"|" "|" "
