"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Allan Hills A78013"|"Official"|" "|"1978"|"Antarctica"|"L3.5"|"4.1 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78014"|"Official"|" "|"1977 or 1978"|"Antarctica"|"L3"|"7 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78015"|"Official"|" "|"1978"|"Antarctica"|"L3.2"|"34.9 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78016"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"2.55 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78017"|"Official"|" "|"1978"|"Antarctica"|"L3.5"|"2.9 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78018"|"Official"|" "|"1978"|"Antarctica"|"H5"|"17.9 g"|"8(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78019 **"|"Official"|" "|"1978"|"Antarctica"|"Ureilite"|"30.3 g"|"2(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78020"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H4"|"14.2 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78021"|"Official"|" "|"1978"|"Antarctica"|"H5"|"17.1 g"|"7(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78022"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"6.5 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78023"|"Official"|" "|"1978"|"Antarctica"|"H5"|"9.8 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78024"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H6"|"3.15 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78025"|"Official"|" "|"1978"|"Antarctica"|"H5"|"8.3 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
