"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Yamato 983832"|"Official"|" "|"1998"|"Antarctica"|"H4"|"30 g"|"J21 NIPR"|" "
"Yamato 983833"|"Official"|" "|"1998"|"Antarctica"|"H4"|"31.5 g"|"J21 NIPR"|" "
"Yamato 983834"|"Official"|" "|"1998"|"Antarctica"|"H4"|"29.8 g"|"J21 NIPR"|" "
"Yamato 983835"|"Official"|" "|"1998"|"Antarctica"|"H4"|"16.7 g"|"J21 NIPR"|" "
"Yamato 983836"|"Official"|" "|"1998"|"Antarctica"|"H4"|"20.3 g"|"J21 NIPR"|" "
"Yamato 983837"|"Official"|" "|"1998"|"Antarctica"|"H4"|"57 g"|"J21 NIPR"|" "
"Yamato 983838"|"Official"|" "|"1998"|"Antarctica"|"H4"|"41.2 g"|"J21 NIPR"|" "
"Yamato 983839"|"Official"|" "|"1998"|"Antarctica"|"H4"|"19 g"|"J21 NIPR"|" "
"Yamato 983840"|"Official"|" "|"1998"|"Antarctica"|"H4"|"15.5 g"|"J21 NIPR"|" "
"Yamato 983841"|"Official"|" "|"1998"|"Antarctica"|"H4"|"12.2 g"|"J21 NIPR"|" "
"Yamato 983842"|"Official"|" "|"1998"|"Antarctica"|"H4"|"10.4 g"|"J21 NIPR"|" "
"Yamato 983843"|"Official"|" "|"1998"|"Antarctica"|"H4"|"12.5 g"|"J21 NIPR"|" "
"Yamato 983844"|"Official"|" "|"1998"|"Antarctica"|"H4"|"9.2 g"|"J21 NIPR"|" "
"Yamato 983845"|"Official"|" "|"1998"|"Antarctica"|"H4"|"8.6 g"|"J21 NIPR"|" "
"Yamato 983846"|"Official"|" "|"1998"|"Antarctica"|"H4"|"44.2 g"|"J21 NIPR"|" "
"Yamato 983847"|"Official"|" "|"1998"|"Antarctica"|"H4"|"33.8 g"|"J21 NIPR"|" "
"Yamato 983848"|"Official"|" "|"1998"|"Antarctica"|"H4"|"18.3 g"|"J21 NIPR"|" "
"Yamato 983849"|"Official"|" "|"1998"|"Antarctica"|"H4"|"4.2 g"|"J21 NIPR"|" "
"Yamato 983850"|"Official"|" "|"1998"|"Antarctica"|"L5"|"32.2 g"|"J21 NIPR"|" "
"Yamato 983851"|"Official"|" "|"1998"|"Antarctica"|"L6"|"29.9 g"|"J21 NIPR"|" "
"Yamato 983852"|"Official"|" "|"1998"|"Antarctica"|"H4"|"70.6 g"|"J21 NIPR"|" "
"Yamato 983853"|"Official"|" "|"1998"|"Antarctica"|"H4"|"6 g"|"J21 NIPR"|" "
"Yamato 983854"|"Official"|" "|"1998"|"Antarctica"|"H4"|"4.25 g"|"J21 NIPR"|" "
"Yamato 983856"|"Official"|" "|"1998"|"Antarctica"|"LL6"|"7.4 g"|"J21 NIPR"|" "
"Yamato 983857"|"Official"|" "|"1998"|"Antarctica"|"H4"|"6.7 g"|"J21 NIPR"|" "
"Yamato 983858"|"Official"|" "|"1998"|"Antarctica"|"H5"|"8.1 g"|"J21 NIPR"|" "
"Yamato 983859"|"Official"|" "|"1998"|"Antarctica"|"L5"|"97.1 g"|"J21 NIPR"|" "
"Yamato 983860"|"Official"|" "|"1998"|"Antarctica"|"H4"|"18.4 g"|"J21 NIPR"|" "
"Yamato 983861"|"Official"|" "|"1998"|"Antarctica"|"H5"|"139.3 g"|"J21 NIPR"|" "
"Yamato 983862"|"Official"|" "|"1998"|"Antarctica"|"H4"|"5.7 g"|"J21 NIPR"|" "
"Yamato 983863"|"Official"|" "|"1998"|"Antarctica"|"H4"|"7.3 g"|"J21 NIPR"|" "
"Yamato 983864"|"Official"|" "|"1998"|"Antarctica"|"H4"|"3.87 g"|"J21 NIPR"|" "
"Yamato 983865"|"Official"|" "|"1998"|"Antarctica"|"H4"|"4.27 g"|"J21 NIPR"|" "
"Yamato 983867"|"Official"|" "|"1998"|"Antarctica"|"L6"|"16.3 g"|"J21 NIPR"|" "
"Yamato 983868"|"Official"|" "|"1998"|"Antarctica"|"L6"|"4.52 g"|"J21 NIPR"|" "
"Yamato 983869"|"Official"|" "|"1998"|"Antarctica"|"H6"|"29.4 g"|"J21 NIPR"|" "
"Yamato 983870"|"Official"|" "|"1998"|"Antarctica"|"H4"|"4.07 g"|"J21 NIPR"|" "
"Yamato 983871"|"Official"|" "|"1998"|"Antarctica"|"H-melt breccia"|"81.8 g"|"J21 NIPR"|" "
"Yamato 983872"|"Official"|" "|"1998"|"Antarctica"|"H4"|"7.2 g"|"J21 NIPR"|" "
"Yamato 983873"|"Official"|" "|"1998"|"Antarctica"|"H4"|"4.53 g"|"J21 NIPR"|" "
"Yamato 983874"|"Official"|" "|"1998"|"Antarctica"|"L5"|"34.6 g"|"J21 NIPR"|" "
"Yamato 983875"|"Official"|" "|"1998"|"Antarctica"|"H4"|"12.8 g"|"J21 NIPR"|" "
"Yamato 983876"|"Official"|" "|"1998"|"Antarctica"|"L4"|"5.3 g"|"J21 NIPR"|" "
"Yamato 983877"|"Official"|" "|"1998"|"Antarctica"|"H4"|"3.6 g"|"J21 NIPR"|" "
"Yamato 983878"|"Official"|" "|"1998"|"Antarctica"|"H5"|"3.41 g"|"J21 NIPR"|" "
"Yamato 983879"|"Official"|" "|"1998"|"Antarctica"|"L6"|"81.5 g"|"J21 NIPR"|" "
"Yamato 983881"|"Official"|" "|"1998"|"Antarctica"|"H5"|"5.7 g"|"J21 NIPR"|" "
"Yamato 983882"|"Official"|" "|"1998"|"Antarctica"|"H4"|"5.8 g"|"J21 NIPR"|" "
"Yamato 983883"|"Official"|" "|"1998"|"Antarctica"|"L6"|"39 g"|"J21 NIPR"|" "
"Yamato 983884"|"Official"|" "|"1998"|"Antarctica"|"L6"|"8.1 g"|"J21 NIPR"|" "
"Yamato 983885 **"|"Official"|" "|"1999"|"Antarctica"|"Lunar (anorth)"|"290 g"|"J10(2) NIPR"|"(-71.562830, 36.005170)  "
"Yamato 983886"|"Official"|" "|"1998"|"Antarctica"|"H5"|"27.4 g"|"J21 NIPR"|" "
"Yamato 983887"|"Official"|" "|"1998"|"Antarctica"|"H4"|"25.8 g"|"J21 NIPR"|" "
"Yamato 983889"|"Official"|" "|"1998"|"Antarctica"|"H4"|"7 g"|"J21 NIPR"|" "
"Yamato 983890 **"|"Official"|" "|"1998"|"Antarctica"|"Ureilite-pmict"|"10.8 g"|"J21 NIPR"|" "
"Yamato 983896"|"Official"|" "|"1998"|"Antarctica"|"EH3"|"10.3 g"|"J21 NIPR"|" "
"Yamato 983897"|"Official"|" "|"1998"|"Antarctica"|"H5"|"154.9 g"|"J21 NIPR"|" "
"Yamato 983900"|"Official"|" "|"1998"|"Antarctica"|"LL-melt breccia"|"522 g"|"J21 NIPR"|" "
"Yamato 983902"|"Official"|" "|"1998"|"Antarctica"|"LL-melt breccia"|"199.2 g"|"J21 NIPR"|" "
"Yamato 983906"|"Official"|" "|"1998"|"Antarctica"|"H5"|"21.8 g"|"J21 NIPR"|" "
"Yamato 983907"|"Official"|" "|"1998"|"Antarctica"|"H4"|"15.3 g"|"J21 NIPR"|" "
"Yamato 983908"|"Official"|" "|"1998"|"Antarctica"|"H4"|"7.2 g"|"J21 NIPR"|" "
"Yamato 983910"|"Official"|" "|"1998"|"Antarctica"|"H6"|"20.2 g"|"J21 NIPR"|" "
"Yamato 983911"|"Official"|" "|"1998"|"Antarctica"|"H5"|"133.5 g"|"J21 NIPR"|" "
"Yamato 983912"|"Official"|" "|"1998"|"Antarctica"|"H5"|"42.1 g"|"J21 NIPR"|" "
"Yamato 983914"|"Official"|" "|"1998"|"Antarctica"|"H3"|"107.6 g"|"J21 NIPR"|" "
"Yamato 983915"|"Official"|" "|"1998"|"Antarctica"|"H5"|"27.7 g"|"J21 NIPR"|" "
"Yamato 983917"|"Official"|" "|"1998"|"Antarctica"|"H5"|"16 g"|"J21 NIPR"|" "
"Yamato 983918"|"Official"|" "|"1998"|"Antarctica"|"L6"|"296 g"|"J21 NIPR"|" "
"Yamato 983919"|"Official"|" "|"1998"|"Antarctica"|"H5"|"991 g"|"J28 NIPR"|" "
"Yamato 983920"|"Official"|" "|"1998"|"Antarctica"|"H5"|"633 g"|"J21 NIPR"|" "
"Yamato 983921"|"Official"|" "|"1998"|"Antarctica"|"H5"|"10.7 g"|"J21 NIPR"|" "
"Yamato 983922"|"Official"|" "|"1998"|"Antarctica"|"H5"|"7.8 g"|"J21 NIPR"|" "
"Yamato 983923"|"Official"|" "|"1998"|"Antarctica"|"H5"|"7.7 g"|"J21 NIPR"|" "
"Yamato 983924"|"Official"|" "|"1998"|"Antarctica"|"H5"|"6.6 g"|"J21 NIPR"|" "
"Yamato 983925"|"Official"|" "|"1998"|"Antarctica"|"H5"|"4.54 g"|"J21 NIPR"|" "
"Yamato 983926"|"Official"|" "|"1998"|"Antarctica"|"H5"|"4.5 g"|"J21 NIPR"|" "
"Yamato 983929"|"Official"|" "|"1998"|"Antarctica"|"H6"|"101.1 g"|"J21 NIPR"|" "
"Yamato 983930"|"Official"|" "|"1998"|"Antarctica"|"H6"|"18.9 g"|"J21 NIPR"|" "
"Yamato 983931"|"Official"|" "|"1998"|"Antarctica"|"H/L4"|"8.1 g"|"J21 NIPR"|" "
"Yamato 983932"|"Official"|" "|"1998"|"Antarctica"|"H5"|"9.8 g"|"J21 NIPR"|" "
"Yamato 983933"|"Official"|" "|"1998"|"Antarctica"|"H5"|"7.1 g"|"J21 NIPR"|" "
